t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781276173.171466,1.863555,-3.049459,-9.132270,-0.388276,0.802467,0.127087
1781276173.181466,1.929409,-3.020346,-9.128267,-0.313402,0.748498,0.186083
1781276173.191466,1.991266,-2.999737,-9.121776,-0.229941,0.748069,0.231125
1781276173.201466,2.053455,-2.987825,-9.111892,-0.139545,0.774992,0.246327
1781276173.211466,2.116013,-2.983938,-9.098844,-0.074826,0.763902,0.290447
1781276173.221466,2.172484,-2.985229,-9.085102,-0.065182,0.691121,0.383215
1781276173.231466,2.216746,-2.987559,-9.073637,-0.094599,0.562034,0.486998
1781276173.241466,2.244423,-2.989971,-9.066036,-0.118222,0.404837,0.588202
1781276173.251466,2.256032,-2.993837,-9.061879,-0.110748,0.281427,0.708363
1781276173.261466,2.253897,-3.004381,-9.058919,-0.032945,0.183255,0.839750
1781276173.271466,2.240398,-3.028692,-9.054171,0.135389,0.126314,0.953694
1781276173.281466,2.220683,-3.073581,-9.043893,0.366311,0.112020,1.045825
1781276173.291466,2.193937,-3.140762,-9.027320,0.584606,-0.001476,1.085408
1781276173.301466,2.154388,-3.227686,-9.006154,0.819123,-0.106856,1.070446
1781276173.311466,2.107292,-3.333284,-8.978784,1.023074,-0.166628,1.062508
1781276173.321466,2.052181,-3.456485,-8.944893,1.202257,-0.224075,1.166598
1781276173.331466,1.983937,-3.594696,-8.905716,1.318710,-0.328247,1.341993
1781276173.341466,1.894665,-3.742017,-8.864363,1.359320,-0.496579,1.529817
1781276173.351466,1.784620,-3.890703,-8.823080,1.324937,-0.586952,1.673070
1781276173.361466,1.669110,-4.033574,-8.781429,1.243548,-0.465849,1.735542
1781276173.371466,1.566683,-4.165477,-8.738628,1.104582,-0.209195,1.808973
1781276173.381466,1.484596,-4.281632,-8.696732,0.884611,0.190589,2.019487
1781276173.391466,1.428509,-4.377805,-8.658176,0.598793,0.684651,2.322240
1781276173.401466,1.398193,-4.449842,-8.626358,0.257368,1.085600,2.591309
1781276173.411466,1.370098,-4.492539,-8.608727,-0.131510,1.028265,2.788186
1781276173.421466,1.322016,-4.506550,-8.608922,-0.413869,0.795761,2.855705
1781276173.431466,1.250597,-4.502135,-8.621886,-0.521512,0.533727,2.847848
1781276173.441466,1.160432,-4.493533,-8.638953,-0.444349,0.320812,2.785031
1781276173.451466,1.058748,-4.495322,-8.651068,-0.203137,0.185576,2.681254
1781276173.461466,0.955486,-4.518642,-8.650937,0.146308,0.142950,2.498068
1781276173.471466,0.863612,-4.570576,-8.633294,0.558298,0.237217,2.230591
1781276173.481466,0.794771,-4.654832,-8.594795,0.999731,0.353154,1.871102
1781276173.491466,0.753377,-4.774867,-8.532425,1.500786,0.542192,1.506161
1781276173.501466,0.743581,-4.935528,-8.441324,2.032863,0.807355,1.250386
1781276173.511466,0.767826,-5.135929,-8.318628,2.519979,1.226315,1.165911
1781276173.521466,0.824571,-5.369156,-8.164400,2.877643,1.575156,1.156521
1781276173.531466,0.874268,-5.608180,-7.996794,2.723340,0.943556,0.950483
1781276173.541466,0.848360,-5.803313,-7.859295,2.013464,-0.606186,0.438112
1781276173.551466,0.747011,-5.937593,-7.768843,1.422659,-1.506037,0.056100
1781276173.561466,0.626954,-6.033918,-7.705016,1.091572,-1.700288,-0.221939
1781276173.571466,0.512689,-6.104266,-7.657942,0.787244,-1.878337,-0.548043
1781276173.581466,0.405219,-6.149765,-7.627945,0.488526,-2.060090,-0.861018
1781276173.591466,0.305420,-6.174532,-7.612586,0.265372,-2.131291,-1.102061
1781276173.601466,0.221650,-6.186340,-7.605914,0.137270,-1.923879,-1.190082
1781276173.611466,0.156183,-6.190504,-7.604165,0.016850,-1.766574,-1.198255
1781276173.621466,0.090726,-6.182765,-7.611519,-0.190472,-1.992044,-1.254320
1781276173.631466,0.000394,-6.157884,-7.632173,-0.448418,-2.460950,-1.296005
1781276173.641466,-0.126104,-6.113320,-7.666820,-0.741964,-2.929238,-1.309488
1781276173.651466,-0.287645,-6.049825,-7.712617,-0.973334,-3.305175,-1.270664
1781276173.661466,-0.477195,-5.970920,-7.764462,-1.185438,-3.542749,-1.284880
1781276173.671466,-0.676861,-5.882877,-7.816624,-1.253333,-3.601135,-1.436387
1781276173.681466,-0.862095,-5.800186,-7.860108,-1.154749,-3.512562,-1.792581
1781276173.691466,-1.022064,-5.735071,-7.888731,-0.966426,-3.466443,-2.174434
1781276173.701466,-1.163511,-5.695372,-7.897940,-0.676843,-3.423189,-2.391922
1781276173.711466,-1.284607,-5.681711,-7.889043,-0.425615,-3.113650,-2.464224
1781276173.721466,-1.366559,-5.691698,-7.868090,-0.151107,-2.484873,-2.454582
1781276173.731466,-1.388236,-5.722442,-7.841980,0.074897,-1.529306,-2.368463
1781276173.741466,-1.330159,-5.766862,-7.819442,0.251578,-0.400276,-2.257244
1781276173.751466,-1.204143,-5.822216,-7.798726,0.458899,0.345097,-2.075225
1781276173.761466,-1.050914,-5.886599,-7.772450,0.628781,0.675162,-1.718418
1781276173.771466,-0.924140,-5.955001,-7.736417,0.795507,0.443944,-0.901942
1781276173.781466,-0.898916,-6.028056,-7.682706,1.063765,0.008935,0.628841
1781276173.791466,-0.986591,-6.102764,-7.612561,1.133384,-0.542291,1.514726
1781276173.801466,-1.160432,-6.169553,-7.533637,1.102823,-1.454704,1.662165
1781276173.811466,-1.403050,-6.237578,-7.435462,1.285697,-2.358385,1.503559
1781276173.821466,-1.680306,-6.321117,-7.306100,1.498818,-2.923785,1.036003
1781276173.831466,-1.949557,-6.418055,-7.153077,1.525364,-3.210546,0.449513
1781276173.841466,-2.198183,-6.518143,-6.988650,1.454157,-3.317422,0.109702
1781276173.851466,-2.425243,-6.615726,-6.819878,1.416990,-3.100956,0.025727
1781276173.861466,-2.621732,-6.709076,-6.654084,1.360349,-2.694358,0.015164
1781276173.871466,-2.794739,-6.793960,-6.495758,1.196182,-2.660519,-0.065862
1781276173.881466,-2.964045,-6.869252,-6.339663,1.061501,-2.837859,-0.142785
1781276173.891466,-3.132926,-6.937073,-6.182663,0.970102,-2.836207,-0.130705
1781276173.901466,-3.294241,-6.996493,-6.030022,0.827487,-2.742809,-0.151067
1781276173.911466,-3.441027,-7.047340,-5.887226,0.661417,-2.630462,-0.237070
1781276173.921466,-3.571965,-7.089947,-5.756717,0.482577,-2.490328,-0.273882
1781276173.931466,-3.694252,-7.120092,-5.641246,0.248504,-2.429905,-0.229205
1781276173.941466,-3.818587,-7.135059,-5.538633,0.017930,-2.520728,-0.195742
1781276173.951466,-3.916419,-7.146077,-5.455613,0.048680,-2.025299,-0.359855
1781276173.961466,-4.011681,-7.168973,-5.355371,0.259783,-2.487787,-0.400129
1781276173.971466,-4.137338,-7.203017,-5.211913,0.517671,-3.208214,-0.227469
1781276173.981466,-4.315059,-7.239808,-5.012525,0.755649,-4.025869,-0.012418
1781276173.991466,-4.521180,-7.283112,-4.761369,1.043730,-4.292983,0.021762
1781276174.001466,-4.718717,-7.334819,-4.482002,1.200441,-4.156704,0.017184
1781276174.011466,-4.896366,-7.382895,-4.204056,1.233393,-3.635823,0.213836
1781276174.021466,-5.059095,-7.414308,-3.948638,1.104255,-3.149760,0.430978
1781276174.031466,-5.208939,-7.427538,-3.722804,0.853749,-2.809290,0.530540
1781276174.041466,-5.350433,-7.422063,-3.528241,0.527957,-2.633649,0.627168
1781276174.051466,-5.489932,-7.398993,-3.358460,0.241126,-2.608201,0.708336
1781276174.061466,-5.631651,-7.361690,-3.202178,0.038591,-2.656482,0.793381
1781276174.071466,-5.775804,-7.314083,-3.050914,-0.078143,-2.724010,0.835741
1781276174.081466,-5.918105,-7.263477,-2.895082,-0.114555,-2.870215,0.770887
1781276174.091466,-6.049201,-7.221272,-2.724661,-0.052558,-3.027332,0.539526
1781276174.101466,-6.158113,-7.197156,-2.538124,0.040688,-3.080325,0.261248
1781276174.111466,-6.248664,-7.185883,-2.341090,0.148290,-3.053042,0.206687
1781276174.121466,-6.334983,-7.173934,-2.136731,0.200151,-3.019919,0.314038
1781276174.131466,-6.423192,-7.151225,-1.940625,0.116816,-2.682791,0.515494
1781276174.141466,-6.512416,-7.109182,-1.792758,-0.136911,-1.837519,0.790689
1781276174.151466,-6.600171,-7.043290,-1.731469,-0.577065,-0.798059,1.016926
1781276174.161466,-6.681094,-6.958952,-1.761775,-1.012851,-0.040949,1.081402
1781276174.171466,-6.752410,-6.866828,-1.848912,-1.308036,0.158180,1.017445
1781276174.181466,-6.815769,-6.777199,-1.944738,-1.405539,-0.110225,0.847718
1781276174.191466,-6.870841,-6.699824,-2.017977,-1.368895,-0.485802,0.601388
1781276174.201465,-6.908719,-6.645716,-2.067254,-1.315942,-0.552917,0.207714
1781276174.211465,-6.934122,-6.600585,-2.125935,-1.584413,-0.561707,0.300159
1781276174.221465,-6.986440,-6.525613,-2.184996,-1.771936,-0.972247,0.831018
1781276174.231465,-7.084059,-6.408596,-2.216274,-1.686468,-1.299030,1.371851
1781276174.241465,-7.208462,-6.265159,-2.224853,-1.403200,-1.162393,1.635324
1781276174.251465,-7.333432,-6.117551,-2.227251,-0.926951,-0.789938,1.683360
1781276174.261465,-7.447900,-5.982090,-2.215575,-0.331526,-0.585121,1.580556
1781276174.271465,-7.546272,-5.871906,-2.177438,0.268365,-0.486610,1.324938
1781276174.281465,-7.622495,-5.797269,-2.111193,0.848450,-0.417355,0.944004
1781276174.291465,-7.672842,-5.766840,-2.009733,1.362985,-0.595965,0.439417
1781276174.301465,-7.698187,-5.783767,-1.857857,1.707564,-1.037515,-0.104013
1781276174.311465,-7.698357,-5.842368,-1.662692,1.796743,-1.316073,-0.594093
1781276174.321465,-7.673372,-5.927243,-1.466109,1.566954,-1.141930,-0.888295
1781276174.331465,-7.629549,-6.017551,-1.320849,0.907243,-0.609501,-1.001444
1781276174.341465,-7.566191,-6.104324,-1.287745,-0.284423,0.257407,-1.183437
1781276174.351465,-7.474438,-6.191825,-1.399177,-1.686922,1.080847,-1.501807
1781276174.361465,-7.350022,-6.274400,-1.661253,-2.695719,2.317728,-1.617078
1781276174.371465,-7.188613,-6.331238,-2.089360,-3.421385,4.217348,-1.506904
1781276174.381465,-6.983448,-6.333198,-2.685574,-3.952439,5.910936,-1.006033
1781276174.391465,-6.749348,-6.258846,-3.368171,-4.243598,6.181109,-0.497482
