t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781271120.701575,-0.116726,-1.679827,-9.661000,0.019778,0.133669,-0.024580
1781271120.711575,-0.102264,-1.682030,-9.660781,0.027401,0.158347,-0.027764
1781271120.721575,-0.085653,-1.685313,-9.660369,0.039306,0.172772,-0.024786
1781271120.731575,-0.068826,-1.689650,-9.659746,0.047638,0.165475,-0.020292
1781271120.741575,-0.053752,-1.694914,-9.658920,0.059422,0.140645,-0.011022
1781271120.751575,-0.041557,-1.700794,-9.657947,0.062736,0.108066,-0.000610
1781271120.761575,-0.032677,-1.706910,-9.656903,0.061946,0.078187,0.016043
1781271120.771575,-0.026758,-1.712610,-9.655912,0.055674,0.050642,0.029195
1781271120.781575,-0.023828,-1.717333,-9.655081,0.040419,0.019503,0.042032
1781271120.791575,-0.024238,-1.720366,-9.654540,0.019683,-0.009412,0.055302
1781271120.801575,-0.026738,-1.720710,-9.654472,-0.012724,-0.020143,0.065178
1781271120.811575,-0.030209,-1.717599,-9.655015,-0.051124,-0.026323,0.080712
1781271120.821575,-0.034833,-1.710867,-9.656194,-0.087458,-0.035772,0.101159
1781271120.831575,-0.040545,-1.701126,-9.657893,-0.114586,-0.041684,0.120779
1781271120.841575,-0.047052,-1.689367,-9.659927,-0.129085,-0.046474,0.142584
1781271120.851575,-0.054545,-1.676840,-9.662070,-0.126037,-0.052468,0.168430
1781271120.861575,-0.062131,-1.665043,-9.664064,-0.114871,-0.039902,0.191906
1781271120.871575,-0.068163,-1.655087,-9.665733,-0.088261,-0.013944,0.214855
1781271120.881575,-0.072330,-1.648149,-9.666889,-0.050564,0.003916,0.225384
1781271120.891575,-0.075011,-1.645257,-9.667362,-0.005204,0.013538,0.222178
1781271120.901575,-0.076984,-1.646643,-9.667110,0.037005,0.017711,0.203373
1781271120.911575,-0.078373,-1.652128,-9.666163,0.079143,0.016104,0.177111
1781271120.921575,-0.079586,-1.661445,-9.664556,0.117589,0.012453,0.153174
1781271120.931575,-0.081232,-1.674339,-9.662316,0.151939,0.003358,0.140303
1781271120.941575,-0.083927,-1.690607,-9.659459,0.184978,-0.007787,0.145851
1781271120.951575,-0.087133,-1.709480,-9.656107,0.206821,0.000032,0.166060
1781271120.961575,-0.088550,-1.729451,-9.652538,0.206642,0.035963,0.192649
1781271120.971575,-0.086365,-1.748215,-9.649177,0.181798,0.085126,0.232703
1781271120.981575,-0.079747,-1.763774,-9.646403,0.140630,0.146317,0.277552
1781271120.991575,-0.068354,-1.775045,-9.644422,0.095095,0.200554,0.323906
1781271121.001575,-0.053003,-1.781824,-9.643269,0.051467,0.240394,0.366580
1781271121.011575,-0.035787,-1.784825,-9.642793,0.011466,0.255815,0.405487
1781271121.021575,-0.019399,-1.784226,-9.642951,-0.022706,0.235649,0.439122
1781271121.031575,-0.007158,-1.780331,-9.643689,-0.055971,0.182764,0.459943
1781271121.041575,-0.001007,-1.773439,-9.644962,-0.089303,0.114412,0.460623
1781271121.051575,-0.001332,-1.762869,-9.646899,-0.131160,0.043622,0.436813
1781271121.061575,-0.007258,-1.748015,-9.649597,-0.177855,-0.009918,0.397672
1781271121.071575,-0.016270,-1.728748,-9.653055,-0.219645,-0.040910,0.343334
1781271121.081575,-0.026522,-1.705794,-9.657114,-0.250981,-0.058620,0.283186
1781271121.091575,-0.036797,-1.680683,-9.661481,-0.265821,-0.063640,0.220836
1781271121.101575,-0.045850,-1.655584,-9.665775,-0.251414,-0.058877,0.160133
1781271121.111575,-0.053230,-1.632497,-9.669665,-0.220955,-0.052818,0.099785
1781271121.121575,-0.059069,-1.613312,-9.672852,-0.174454,-0.045990,0.040252
1781271121.131575,-0.063529,-1.599441,-9.675128,-0.113276,-0.042542,-0.012912
1781271121.141575,-0.067047,-1.591473,-9.676420,-0.052424,-0.041582,-0.059919
1781271121.151575,-0.070014,-1.589368,-9.676745,0.007245,-0.045497,-0.097156
1781271121.161575,-0.072988,-1.592947,-9.676134,0.062643,-0.049802,-0.120209
1781271121.171575,-0.075727,-1.601484,-9.674703,0.107086,-0.045492,-0.130955
1781271121.181575,-0.077960,-1.613427,-9.672700,0.133612,-0.044034,-0.133247
1781271121.191575,-0.079921,-1.626912,-9.670425,0.141057,-0.041333,-0.123154
1781271121.201575,-0.081622,-1.640348,-9.668141,0.132653,-0.029078,-0.095465
1781271121.211575,-0.082087,-1.651791,-9.666189,0.100826,-0.004027,-0.050942
1781271121.221575,-0.080408,-1.659264,-9.664924,0.049747,0.032639,0.007547
1781271121.231575,-0.076108,-1.661158,-9.664634,-0.010965,0.068267,0.073353
1781271121.241575,-0.069679,-1.656925,-9.665408,-0.077479,0.096431,0.126673
1781271121.251575,-0.061812,-1.646228,-9.667288,-0.146346,0.113502,0.155428
1781271121.261575,-0.053299,-1.629167,-9.670227,-0.206852,0.117803,0.163859
1781271121.271575,-0.044195,-1.606603,-9.674044,-0.255673,0.122369,0.153901
1781271121.281575,-0.034799,-1.580228,-9.678424,-0.288329,0.116222,0.130236
1781271121.291575,-0.026325,-1.551750,-9.683057,-0.301250,0.093772,0.096834
1781271121.301575,-0.020107,-1.522436,-9.687724,-0.305057,0.059447,0.062173
1781271121.311575,-0.016562,-1.493458,-9.692241,-0.293580,0.028229,0.028184
1781271121.321575,-0.015474,-1.465937,-9.696444,-0.273579,-0.000349,0.001311
1781271121.331575,-0.016337,-1.440586,-9.700243,-0.248514,-0.020387,-0.022396
1781271121.341575,-0.018477,-1.418038,-9.703562,-0.217650,-0.034065,-0.047010
1781271121.351575,-0.021606,-1.398923,-9.706331,-0.178222,-0.048821,-0.076425
1781271121.361575,-0.026229,-1.383991,-9.708462,-0.132301,-0.073569,-0.114021
1781271121.371575,-0.033230,-1.373878,-9.709877,-0.075986,-0.109007,-0.158051
1781271121.381575,-0.042800,-1.369880,-9.710405,-0.006817,-0.139010,-0.211953
1781271121.391574,-0.054227,-1.373228,-9.709874,0.073261,-0.164354,-0.271153
1781271121.401574,-0.067681,-1.385112,-9.708099,0.167747,-0.202196,-0.332162
1781271121.411574,-0.085018,-1.406633,-9.704863,0.271954,-0.263357,-0.390422
1781271121.421574,-0.108776,-1.438396,-9.699959,0.374559,-0.349607,-0.445974
1781271121.431574,-0.140035,-1.479882,-9.693303,0.465220,-0.438690,-0.501790
1781271121.441574,-0.178381,-1.529563,-9.684945,0.537712,-0.520372,-0.559785
1781271121.451574,-0.224032,-1.585603,-9.674965,0.593022,-0.614765,-0.610024
1781271121.461574,-0.278718,-1.646836,-9.663291,0.638319,-0.729878,-0.646939
