t_utc[s],pressure[millibar]
1781264414.719523,1001.914597
1781264415.723868,1001.916351
1781264416.728247,1001.918106
1781264417.732595,1001.918640
1781264418.736974,1001.921463
1781264419.089813,1001.930695
1781264420.161173,1001.943436
1781264421.232518,1001.965485
1781264422.303838,1001.991119
1781264423.375127,1002.019348
1781264424.446435,1002.045517
1781264425.517702,1002.071991
1781264426.588933,1002.099380
1781264427.660227,1002.132950
1781264428.731567,1002.169647
1781264429.802983,1002.206650
1781264430.874340,1002.236557
1781264431.945648,1002.257385
1781264433.016963,1002.268066
1781264434.088247,1002.272263
1781264435.159490,1002.272263
1781264436.230744,1002.272110
1781264437.302029,1002.272110
1781264438.373308,1002.272110
1781264439.444583,1002.271881
1781264440.515887,1002.271500
1781264441.587175,1002.270660
1781264442.658436,1002.269669
1781264443.729699,1002.269669
1781264444.800947,1002.269669
1781264445.872180,1002.269058
1781264446.943473,1002.269058
1781264448.014764,1002.269058
1781264449.086030,1002.267990
1781264450.157314,1002.267456
1781264451.228596,1002.266693
1781264452.299849,1002.266312
1781264453.371130,1002.266159
1781264454.442412,1002.266159
1781264455.513694,1002.266998
1781264456.585020,1002.267685
1781264457.656296,1002.273407
1781264458.727519,1002.275543
1781264459.798806,1002.276230
1781264460.870050,1002.280045
1781264461.941315,1002.285233
1781264463.012558,1002.286606
1781264464.083773,1002.289200
1781264465.154977,1002.293243
1781264466.226242,1002.294846
1781264467.297507,1002.295151
1781264468.368785,1002.296143
1781264469.440046,1002.297440
1781264470.511346,1002.306366
1781264471.582692,1002.321167
1781264472.653995,1002.333221
1781264473.725283,1002.344513
1781264474.796661,1002.354813
1781264475.868021,1002.363358
1781264476.939353,1002.364120
1781264478.010683,1002.365265
1781264479.082073,1002.365265
1781264480.153379,1002.364960
1781264481.224683,1002.360840
1781264482.295963,1002.356262
1781264483.367228,1002.353287
1781264484.438523,1002.351074
1781264485.509822,1002.350998
1781264486.581129,1002.350540
1781264487.652442,1002.350998
1781264488.723714,1002.351074
1781264489.794956,1002.351074
1781264490.866203,1002.350845
1781264491.937485,1002.350159
1781264493.008743,1002.349243
1781264494.080023,1002.347870
1781264495.151303,1002.347870
1781264496.222622,1002.349854
1781264497.293942,1002.350998
1781264498.365212,1002.351151
1781264499.436494,1002.351151
1781264500.507793,1002.351303
1781264501.579097,1002.351303
1781264502.650391,1002.350845
1781264503.721685,1002.349625
1781264504.793012,1002.350616
1781264505.864279,1002.350616
1781264506.935581,1002.351456
1781264508.006876,1002.353363
1781264509.078186,1002.357864
1781264510.149529,1002.362213
1781264511.220819,1002.363586
1781264512.292098,1002.367554
1781264513.363332,1002.368927
1781264514.434656,1002.370377
1781264515.505988,1002.370529
1781264516.577302,1002.370377
1781264517.648617,1002.369995
1781264518.719946,1002.368851
1781264519.791251,1002.366104
1781264520.862563,1002.364426
1781264521.933923,1002.360687
1781264523.005264,1002.359314
1781264524.076638,1002.359314
1781264525.148015,1002.360992
1781264526.219377,1002.369308
1781264527.290766,1002.383270
1781264528.362162,1002.389221
1781264529.433566,1002.392960
1781264530.504889,1002.398300
1781264531.576246,1002.398300
1781264532.647662,1002.394028
1781264533.718996,1002.392502
1781264534.790377,1002.392197
1781264535.861779,1002.386475
1781264536.933149,1002.382507
1781264538.004575,1002.375259
1781264539.075982,1002.372589
1781264540.147347,1002.370834
1781264541.218738,1002.370300
1781264542.290128,1002.369766
1781264543.361491,1002.369461
1781264544.432784,1002.369461
1781264545.504131,1002.369461
1781264546.575463,1002.376404
1781264547.646762,1002.381134
1781264548.718094,1002.384720
1781264549.789430,1002.390823
1781264550.860772,1002.403564
1781264551.932157,1002.409363
1781264553.003503,1002.415237
1781264554.074839,1002.425613
1781264555.146212,1002.425613
1781264556.217610,1002.423248
1781264557.289018,1002.417374
1781264558.360409,1002.412415
1781264559.431790,1002.405319
1781264560.503156,1002.405319
1781264561.574508,1002.408447
1781264562.645899,1002.412262
1781264563.717268,1002.412949
1781264564.788634,1002.412949
1781264565.860038,1002.408295
1781264566.931432,1002.401581
1781264568.002827,1002.391663
1781264569.074212,1002.382889
1781264570.145620,1002.374344
1781264571.217051,1002.366714
1781264572.288400,1002.360687
1781264573.359755,1002.353439
1781264574.431138,1002.340927
1781264575.502526,1002.324829
1781264576.573923,1002.308502
1781264577.645327,1002.292175
1781264578.716744,1002.279892
1781264579.788109,1002.276077
1781264580.859494,1002.270584
1781264581.930841,1002.263870
1781264583.002200,1002.259140
1781264584.073570,1002.252274
1781264585.144988,1002.245483
1781264586.216385,1002.242813
1781264587.287780,1002.242737
1781264588.359157,1002.237015
1781264589.430544,1002.220688
1781264590.501973,1002.198257
1781264591.573366,1002.167892
1781264592.644730,1002.130051
1781264593.716125,1002.092972
1781264594.787522,1002.060852
1781264595.858915,1002.028961
1781264596.930281,1001.996994
1781264598.001612,1001.965103
1781264599.072975,1001.936417
1781264600.144279,1001.910324
1781264601.215568,1001.889954
1781264602.286901,1001.877060
1781264603.358220,1001.872864
1781264604.429496,1001.872864
1781264605.500865,1001.874924
1781264606.572233,1001.875153
1781264607.643595,1001.876526
