t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781264415.317879,-0.503921,-0.406545,-9.785252,-0.016503,0.010722,0.108500
1781264415.327879,-0.502102,-0.403889,-9.785456,-0.029754,0.035116,0.082153
1781264415.337879,-0.498938,-0.399989,-9.785778,-0.043754,0.036261,0.052855
1781264415.347879,-0.496571,-0.395468,-9.786082,-0.044880,0.015305,0.024134
1781264415.357879,-0.496375,-0.391661,-9.786245,-0.030456,-0.007495,-0.008980
1781264415.367879,-0.497288,-0.390018,-9.786265,-0.004294,-0.007028,-0.029603
1781264415.377879,-0.496709,-0.391640,-9.786229,0.033376,0.016780,-0.032097
1781264415.387879,-0.494487,-0.396146,-9.786160,0.051393,0.027462,-0.022592
1781264415.397879,-0.491817,-0.401145,-9.786091,0.048709,0.025545,-0.007770
1781264415.407879,-0.490260,-0.405162,-9.786004,0.032158,0.001690,0.003965
1781264415.417879,-0.492109,-0.407562,-9.785811,0.016818,-0.037695,0.003117
1781264415.427879,-0.497571,-0.408628,-9.785491,0.005346,-0.068350,-0.010543
1781264415.437879,-0.504500,-0.408710,-9.785132,-0.002748,-0.072405,-0.029284
1781264415.447879,-0.511268,-0.409021,-9.784769,0.006482,-0.067138,-0.049562
1781264415.457879,-0.517094,-0.411131,-9.784374,0.033489,-0.052010,-0.054987
1781264415.467879,-0.520730,-0.415983,-9.783976,0.058163,-0.026255,-0.046678
1781264415.477879,-0.521643,-0.422641,-9.783642,0.069363,0.007406,-0.026196
1781264415.487879,-0.519985,-0.429283,-9.783441,0.060669,0.025405,-0.003176
1781264415.497879,-0.517683,-0.434448,-9.783335,0.045484,0.021663,0.014031
1781264415.507879,-0.516556,-0.437348,-9.783265,0.015588,0.001508,0.023968
1781264415.517879,-0.518429,-0.437436,-9.783163,-0.015270,-0.034704,0.024771
1781264415.527879,-0.523468,-0.434466,-9.783026,-0.043757,-0.064357,0.013337
1781264415.537879,-0.530744,-0.428815,-9.782883,-0.071825,-0.080147,-0.007523
1781264415.547879,-0.538428,-0.420638,-9.782818,-0.097731,-0.072830,-0.021736
1781264415.557879,-0.543913,-0.409507,-9.782987,-0.132254,-0.037782,-0.024954
1781264415.567879,-0.545596,-0.395221,-9.783481,-0.161023,0.001072,-0.022307
1781264415.577879,-0.544037,-0.378352,-9.784235,-0.183188,0.028858,-0.020426
1781264415.587879,-0.540253,-0.359415,-9.785158,-0.205558,0.048368,-0.018771
1781264415.597879,-0.534778,-0.338163,-9.786216,-0.228859,0.063054,-0.016403
1781264415.607879,-0.528119,-0.315105,-9.787347,-0.245437,0.068479,-0.008281
1781264415.617879,-0.522053,-0.290295,-9.788439,-0.262284,0.052367,-0.002889
1781264415.627879,-0.518972,-0.263778,-9.789353,-0.279330,0.006452,-0.001901
1781264415.637879,-0.521661,-0.235782,-9.789924,-0.291327,-0.061122,-0.010060
1781264415.647879,-0.531149,-0.207144,-9.790061,-0.295802,-0.131681,-0.023983
1781264415.657879,-0.546295,-0.178846,-9.789785,-0.284917,-0.170484,-0.040500
1781264415.667879,-0.562413,-0.152400,-9.789320,-0.258296,-0.149419,-0.037709
1781264415.677878,-0.573188,-0.129449,-9.789026,-0.212417,-0.066211,-0.027563
1781264415.687878,-0.574566,-0.111649,-9.789166,-0.155761,0.034071,-0.012940
1781264415.697878,-0.568321,-0.098576,-9.789671,-0.119286,0.091755,-0.005519
1781264415.707878,-0.558145,-0.086826,-9.790368,-0.131698,0.113696,-0.017470
1781264415.717878,-0.547765,-0.070631,-9.791084,-0.212638,0.098442,-0.049748
1781264415.727878,-0.540393,-0.044540,-9.791646,-0.334062,0.046469,-0.115416
1781264415.737878,-0.541300,-0.006175,-9.791692,-0.469250,-0.072895,-0.166655
1781264415.747878,-0.555121,0.045105,-9.790810,-0.596985,-0.205352,-0.180918
1781264415.757878,-0.581453,0.107583,-9.788787,-0.696876,-0.332041,-0.168776
1781264415.767878,-0.619998,0.177982,-9.785387,-0.755924,-0.445247,-0.147987
1781264415.777878,-0.666779,0.252458,-9.780666,-0.780906,-0.493764,-0.136786
1781264415.787878,-0.714354,0.327277,-9.775088,-0.763764,-0.459486,-0.129876
1781264415.797878,-0.755363,0.397984,-9.769384,-0.697614,-0.364941,-0.119883
1781264415.807878,-0.785808,0.459870,-9.764273,-0.580205,-0.247096,-0.091814
1781264415.817878,-0.804577,0.508146,-9.760359,-0.416601,-0.130735,-0.050136
1781264415.827878,-0.813241,0.539447,-9.757968,-0.228526,-0.049832,0.000289
1781264415.837878,-0.815727,0.552937,-9.757009,-0.050155,-0.007871,0.036333
1781264415.847878,-0.814814,0.550193,-9.757241,0.106918,0.022003,0.050632
1781264415.857878,-0.810774,0.534221,-9.758463,0.221337,0.056515,0.039108
1781264415.867878,-0.803707,0.509218,-9.760383,0.284097,0.084943,0.009025
1781264415.877878,-0.794266,0.480327,-9.762619,0.300729,0.107929,-0.024474
1781264415.887878,-0.782941,0.451765,-9.764897,0.272907,0.128715,-0.058200
1781264415.897878,-0.770048,0.427159,-9.767030,0.215459,0.142111,-0.092833
1781264415.907878,-0.756141,0.408911,-9.768898,0.141750,0.153291,-0.115030
1781264415.917878,-0.741743,0.397851,-9.770460,0.065629,0.153144,-0.130423
1781264415.927878,-0.727965,0.393688,-9.771665,-0.000843,0.139440,-0.141051
1781264415.937878,-0.715769,0.395234,-9.772504,-0.052051,0.122657,-0.156801
1781264415.947878,-0.705502,0.400883,-9.773020,-0.084948,0.100905,-0.169962
1781264415.957878,-0.698324,0.408906,-9.773204,-0.104731,0.058221,-0.176674
1781264415.967878,-0.695594,0.418489,-9.772993,-0.117461,0.014923,-0.177566
1781264415.977878,-0.696769,0.429013,-9.772453,-0.125266,-0.020182,-0.173562
1781264415.987878,-0.701232,0.439748,-9.771656,-0.119732,-0.055220,-0.168894
1781264415.997878,-0.709601,0.449680,-9.770600,-0.107548,-0.099426,-0.165258
1781264416.007878,-0.721690,0.458351,-9.769311,-0.095209,-0.129020,-0.157567
