t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781270929.216519,-0.020798,-2.685697,-9.431701,-0.190423,-0.267963,-0.053117
1781270929.226519,-0.043682,-2.668051,-9.436630,-0.183624,-0.245583,-0.056379
1781270929.236518,-0.064424,-2.651530,-9.441166,-0.168463,-0.225332,-0.049324
1781270929.246518,-0.083457,-2.636071,-9.445345,-0.160905,-0.202166,-0.030684
1781270929.256518,-0.100577,-2.621360,-9.449272,-0.155999,-0.173411,-0.010637
1781270929.266518,-0.115728,-2.606389,-9.453239,-0.166099,-0.152980,-0.001676
1781270929.276518,-0.129460,-2.589824,-9.457613,-0.181464,-0.134710,-0.000513
1781270929.286518,-0.141026,-2.572336,-9.462219,-0.185504,-0.103212,0.008142
1781270929.296518,-0.149381,-2.555417,-9.466673,-0.172562,-0.067884,0.021017
1781270929.306518,-0.155336,-2.539832,-9.470771,-0.154489,-0.043144,0.037358
1781270929.316518,-0.158672,-2.526008,-9.474412,-0.136519,-0.003953,0.044336
1781270929.326518,-0.158141,-2.513392,-9.477776,-0.130720,0.036288,0.039465
1781270929.336518,-0.153917,-2.500720,-9.481197,-0.135436,0.069753,0.026586
1781270929.346518,-0.146961,-2.486997,-9.484916,-0.151358,0.082918,0.013358
1781270929.356518,-0.140088,-2.471776,-9.488997,-0.169160,0.069091,0.016559
1781270929.366518,-0.134222,-2.454081,-9.493674,-0.200854,0.068986,0.038021
1781270929.376518,-0.128628,-2.433765,-9.498980,-0.226440,0.077119,0.071170
1781270929.386518,-0.124182,-2.411204,-9.504790,-0.244634,0.057732,0.098865
1781270929.396518,-0.122853,-2.387367,-9.510823,-0.252425,0.020713,0.106061
1781270929.406518,-0.125307,-2.363854,-9.516662,-0.237146,-0.021966,0.099342
1781270929.416518,-0.131579,-2.342892,-9.521760,-0.200915,-0.066685,0.079420
1781270929.426518,-0.141502,-2.325790,-9.525809,-0.152314,-0.109601,0.055483
1781270929.436518,-0.154161,-2.313552,-9.528593,-0.103152,-0.134423,0.037293
