t_utc[s],pressure[millibar]
1781270928.651897,1001.473389
1781270929.656356,1001.474915
1781270930.660775,1001.475983
1781270931.665195,1001.475983
1781270932.669631,1001.474915
1781270933.022393,1001.474915
1781270934.093764,1001.474228
1781270935.165112,1001.472778
1781270936.236464,1001.471481
1781270937.307797,1001.471481
1781270938.379087,1001.472244
1781270939.450403,1001.473312
1781270940.521754,1001.473312
1781270941.593074,1001.471939
1781270942.664392,1001.469193
1781270943.735726,1001.465912
1781270944.807097,1001.462555
1781270945.878468,1001.461868
1781270946.949875,1001.461868
1781270948.021253,1001.464691
1781270949.092598,1001.465912
1781270950.163990,1001.466522
1781270951.235415,1001.468201
1781270952.306803,1001.468201
1781270953.378186,1001.467972
1781270954.449577,1001.467972
1781270955.521034,1001.467819
1781270956.592510,1001.465988
1781270957.664032,1001.463394
1781270958.735512,1001.460953
1781270959.806986,1001.455536
1781270960.878513,1001.447220
1781270961.950000,1001.442337
1781270963.021490,1001.438293
1781270964.093020,1001.431122
1781270965.164541,1001.425476
1781270966.236036,1001.420670
1781270967.307534,1001.412964
1781270968.379025,1001.405716
1781270969.450483,1001.400299
1781270970.521946,1001.395569
1781270971.593405,1001.391220
1781270972.664871,1001.386871
1781270973.736372,1001.379700
1781270974.807879,1001.375275
1781270975.879367,1001.369553
1781270976.950850,1001.363831
1781270978.022355,1001.361771
1781270979.093878,1001.360626
1781270980.165388,1001.355743
1781270981.236917,1001.348114
1781270982.308424,1001.343002
1781270983.379897,1001.337585
1781270984.451385,1001.333389
1781270985.522861,1001.333389
1781270986.594343,1001.336517
1781270987.665846,1001.341476
1781270988.737339,1001.346664
1781270989.808852,1001.348343
1781270990.880324,1001.348343
1781270991.951797,1001.346970
1781270993.023339,1001.345520
1781270994.094876,1001.344147
1781270995.166417,1001.344147
1781270996.237955,1001.346207
1781270997.309468,1001.349411
1781270998.380963,1001.352692
1781270999.452481,1001.356506
1781271000.523972,1001.360321
1781271001.595448,1001.364441
1781271002.666951,1001.370850
1781271003.738464,1001.376572
1781271004.809931,1001.380615
1781271005.881387,1001.385498
1781271006.952863,1001.387939
1781271008.024342,1001.388550
1781271009.095776,1001.389313
1781271010.167244,1001.389999
1781271011.238748,1001.390457
1781271012.310236,1001.391449
1781271013.381702,1001.396332
1781271014.453171,1001.404343
1781271015.524653,1001.410446
1781271016.596162,1001.417007
1781271017.667648,1001.423721
1781271018.739151,1001.427307
1781271019.810609,1001.430588
1781271020.882049,1001.433182
1781271021.953507,1001.436768
1781271023.024977,1001.442566
1781271024.096450,1001.446457
1781271025.167962,1001.449890
1781271026.239444,1001.454086
1781271027.310854,1001.458969
1781271028.382297,1001.464157
1781271029.453737,1001.469345
1781271030.525186,1001.471405
1781271031.596645,1001.473846
1781271032.668095,1001.473846
1781271033.739533,1001.473236
1781271034.811013,1001.473236
1781271035.882445,1001.475983
1781271036.953933,1001.478958
1781271038.025379,1001.484451
1781271039.096806,1001.489182
1781271040.168303,1001.496887
1781271041.239789,1001.503677
1781271042.311280,1001.510315
1781271043.382792,1001.518478
1781271044.454240,1001.528473
1781271045.525656,1001.538544
1781271046.597063,1001.550064
1781271047.668520,1001.561813
1781271048.739967,1001.574554
1781271049.811434,1001.588135
1781271050.882879,1001.597061
1781271051.954332,1001.606750
1781271053.025743,1001.613083
1781271054.097188,1001.617813
1781271055.168601,1001.618500
1781271056.240005,1001.621399
1781271057.311474,1001.625671
1781271058.382893,1001.626816
1781271059.454314,1001.626816
1781271060.525787,1001.621704
1781271061.597233,1001.613922
1781271062.668643,1001.601791
1781271063.740034,1001.585236
1781271064.811476,1001.573486
1781271065.882921,1001.560669
1781271066.954309,1001.547775
1781271068.025674,1001.535187
1781271069.097065,1001.526260
1781271070.168483,1001.517334
1781271071.239944,1001.511841
1781271072.311396,1001.506042
1781271073.382824,1001.502686
1781271074.454283,1001.499863
1781271075.525661,1001.497421
1781271076.597028,1001.495667
1781271077.668455,1001.492081
1781271078.739836,1001.489029
1781271079.811248,1001.484909
1781271080.882688,1001.476517
1781271081.954117,1001.466370
1781271083.025528,1001.456757
1781271084.096967,1001.445084
1781271085.168399,1001.434021
1781271086.239839,1001.427994
1781271087.311288,1001.421509
1781271088.382668,1001.417236
1781271089.454059,1001.415482
1781271090.525511,1001.410446
1781271091.597005,1001.407623
1781271092.668402,1001.407623
1781271093.739840,1001.410294
1781271094.811320,1001.412582
1781271095.882798,1001.417542
1781271096.954238,1001.419601
1781271098.025691,1001.420441
1781271099.097121,1001.420441
1781271100.168510,1001.418457
1781271101.239928,1001.418457
1781271102.311384,1001.418686
1781271103.382787,1001.418991
1781271104.454234,1001.418991
1781271105.525670,1001.420670
1781271106.597095,1001.421814
1781271107.668477,1001.422043
1781271108.739866,1001.422043
