time,pos_x,pos_y,pos_z,yaw_deg,pitch_deg,roll_deg
1781271320.598862,-15.282412868224084,-12.474880418232768,83.71777700211945,0.04352374318371748,-0.1016853912001116,-0.010112461766813454
1781271320.608862,-15.284002423893746,-12.476529266302054,83.72426663776575,0.09695415970131918,-0.21890452804360516,-0.03494120410823443
1781271320.618862,-15.285654839245565,-12.478580954900803,83.72888338491366,0.15972916571203,-0.3243443121177737,-0.06561875946078409
1781271320.628862,-15.287370197612557,-12.48103551693621,83.7316272643369,0.2302031729266277,-0.40301793775794464,-0.08814214388186638
1781271320.638862,-15.28914869167465,-12.483892879761022,83.73249825686257,0.3082111025490971,-0.4485868327050711,-0.0947206972426398
1781271320.648862,-15.290990560751897,-12.48715292838637,83.73149632752214,0.3914922997243892,-0.4507570869208455,-0.07958865161102097
1781271320.658862,-15.292896099164764,-12.490815497936227,83.72862142291429,0.4722638125202367,-0.4324281276282615,-0.03624486932331017
1781271320.668862,-15.294865436005432,-12.494880367414082,83.72387345247698,0.5399969123000284,-0.41812420549480966,0.028495838545954187
1781271320.678862,-15.296898559181297,-12.499347369238613,83.71725233976552,0.5940068770056279,-0.40886983794572385,0.09306272900937679
1781271320.688862,-15.298995465054809,-12.50421650683461,83.70875808612213,0.6332563002183456,-0.40800988735576443,0.14355699779189088
1781271320.698862,-15.301156123943219,-12.509487889369817,83.69839073862546,0.6597928219277724,-0.4259511418120212,0.17953698780622307
1781271320.708862,-15.303380435793462,-12.515161618125164,83.68615033584031,0.6747193422460374,-0.4552303853315691,0.20499831146219039
1781271320.718862,-15.305668367340562,-12.521237775324922,83.6720369124905,0.6791490204827315,-0.482464251857228,0.22140065733716546
1781271320.728862,-15.308019977864483,-12.527716424222252,83.65605050128042,0.6778787198266265,-0.5027976881572386,0.2300573963034541
1781271320.738862,-15.310435343716092,-12.534597610952355,83.63819112850098,0.6719497485252552,-0.5164774037680776,0.2344365477580542
1781271320.748862,-15.31291453723384,-12.541881363981666,83.61845881213118,0.6664675776958888,-0.5098860771475607,0.24126844904338968
1781271320.758862,-15.315457717351302,-12.549567658085913,83.59685355228174,0.664964719005541,-0.48691908157574487,0.24937106978237814
1781271320.768862,-15.318064995674394,-12.557656496963837,83.57337535857687,0.6625246201513153,-0.4533196818551537,0.25664874618604716
1781271320.778862,-15.320736449628466,-12.566147875175973,83.54802423416967,0.6541185978896615,-0.41292401371691506,0.25700569648809013
1781271320.788862,-15.323472146797624,-12.575041842078418,83.52080020620902,0.6419374814854882,-0.3741521263542598,0.25875087987828566
1781271320.798862,-15.326272080882683,-12.584338386722385,83.49170326931018,0.6288127175289849,-0.3369785471156082,0.26640880382269533
1781271320.808862,-15.329136249761675,-12.594037457803529,83.46073340013174,0.6174335481477796,-0.30254635133388935,0.282689705890797
1781271320.818862,-15.332064621872796,-12.604138992102579,83.42789056794658,0.6040570152775886,-0.27488023253313076,0.3100384529630444
1781271320.828862,-15.335057145898572,-12.614642894750435,83.39317472617583,0.590480475392026,-0.2523236497151197,0.35206278852133416
1781271320.838862,-15.338113777042427,-12.625549039361891,83.3565858146637,0.5812461967039342,-0.23786541295284205,0.4158356809518477
1781271320.848862,-15.341234421359704,-12.636857249170484,83.3181237469627,0.575897005030256,-0.23771597567360347,0.49713476142236085
1781271320.858862,-15.344418953621174,-12.648567401831258,83.277788458959,0.5709876238309207,-0.25058102937289767,0.5832568749370014
1781271320.868862,-15.34766727349164,-12.660679479114432,83.23557993530207,0.5657543537927697,-0.27273579508010626,0.6569295624790952
1781271320.878862,-15.350979318480373,-12.67319357480414,83.19149821379585,0.5594973475991706,-0.29568767314324224,0.7111542790687647
1781271320.888862,-15.35435510333393,-12.686109843387849,83.14554336504318,0.5534364556087331,-0.3153818525337881,0.7386320322349755
1781271320.898862,-15.357794650759471,-12.699428490351817,83.09771548327656,0.5342306196301916,-0.32618988963030304,0.741544576325964
1781271320.908862,-15.361298046186327,-12.713149698112826,83.04801465695523,0.5243732824298891,-0.3661447930592843,0.731462323194951
1781271320.918862,-15.36486500751224,-12.727273554523128,82.99644090565171,0.5353859133200981,-0.429487145563994,0.7254122925956578
1781271320.928862,-15.36849527804523,-12.741800024480028,82.94299419526163,0.5647762649768909,-0.5024387571515536,0.7301953682691281
1781271320.938862,-15.372188727648131,-12.756729022801466,82.88767447806578,0.5996725852819509,-0.5803573757309358,0.7419363371397324
1781271320.948862,-15.375945294364456,-12.772060528130124,82.83048174013224,0.6341124323837242,-0.6363452205731327,0.7589310908824561
1781271320.958862,-15.379765146997423,-12.787794503159233,82.77141597656957,0.6631482500389528,-0.689925023188843,0.7761149704075451
1781271320.968862,-15.383648320594812,-12.80393094584454,82.71047718893928,0.6846011625068941,-0.733362766384908,0.7843000845462538
1781271320.978862,-15.387594926892366,-12.820469936946942,82.64766542164364,0.7024397725466451,-0.7641491432447501,0.7847507140537621
1781271320.988862,-15.391605053366428,-12.83741152532977,82.58298070278542,0.7207083252840589,-0.8034266322601608,0.7904751608083778
1781271320.998862,-15.39567861791589,-12.8547556631204,82.51642300497794,0.7401442239881681,-0.8558877389981716,0.8025864246097513
1781271321.008862,-15.399815509107288,-12.872502290434205,82.44799229329222,0.7576433143591543,-0.9163316390142636,0.8146163187612396
1781271321.018862,-15.404015673032166,-12.89065140580137,82.3776885633216,0.7716499645775949,-0.9740440297880715,0.8159792469515539
1781271321.028862,-15.408279142210393,-12.909203098580884,82.30551185762813,0.7798086501771402,-1.039706812075131,0.7991419498688233
1781271321.038862,-15.412605869259188,-12.92815751289549,82.23146223795996,0.7908283098967291,-1.118690124992865,0.7571599613245794
1781271321.048862,-15.416995728505903,-12.947514838707999,82.1555397812605,0.81758258379543,-1.21578052609207,0.6883923332202937
1781271321.058862,-15.421448510026078,-12.967275290049036,82.07774456941587,0.8632842929052638,-1.3410836325727986,0.5965746742825258
1781271321.068862,-15.42596391985208,-12.98743905626628,81.99807666753081,0.9184471543449862,-1.4861162459454946,0.4868920287844379
1781271321.078862,-15.43054178917597,-13.008006261634197,81.91653612006024,0.9728991216958492,-1.617227090580941,0.3815346186798544
1781271321.088862,-15.435182267520043,-13.028976845927248,81.83312291033005,1.0266180296484653,-1.696349070824337,0.3115266212092923
1781271321.098862,-15.439885788473575,-13.050350509757608,81.74783693340756,1.0853121321906447,-1.6875985794732877,0.3048055109416936
