time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781271310000091100,-10.515908935546875,114.23140533361584,1.3473048958846485,180,57.37391081944061,104.64140518102795,18.556594359210585,5.116065226221069,4.027526491677447,41.28299358188215,0.07125813093359257
1781271320000091100,-0.515908935546875,114.23140533361584,1.3473048958846485,180,57.37391081944061,104.64140518102795,18.556594359210585,5.116065226221069,4.027526491677447,41.28299358188215,0.07125813093359257
1781271320591843000,0.075843017578125,0,-1,-1,57.373777719762366,102.95938772094568,-1,77.095014,30.280073825873473,41.282690877142436,-1
1781271320592842000,0.076842041015625,115.0309800518783,-1,-1,57.37377014276858,105.44097989929041,-1,41.866489467666625,30,41.282674011699164,-1
1781271320608411000,0.092410888671875,115.0289630306991,-1,-1,57.37377108666487,105.43896287811121,-1,41.855238666629,30.000044036137915,41.28267596936289,-1
1781271321197136000,0.681135986328125,116.76495361328125,0.30000001192092896,24.205386163750422,57.3738691365692,107.17495346069336,79.453125,4.3535375695589495,6,41.28305736468739,0.7900000214576721
1781271322000137500,1.484137451171875,118.0379638671875,0.8299999833106995,67.52964319180919,57.37386864590874,108.44796371459961,93.515625,3.9134008259503688,4,41.28306951456645,0.7900000214576721
1781271323000141000,2.48414111328125,118.514892578125,0.7200000286102295,70.39559739773571,57.37387026199826,108.92489242553711,135.3515625,3.6722906467512932,4,41.28307119015724,0.5600000023841858
1781271324000144600,3.48414453125,117.381103515625,0.7200000286102295,-1,57.373872064107445,107.79110336303711,-1,3.5355339059327373,3,41.28307018432886,0
1781271325000148000,4.48414794921875,116.8629150390625,0.9800000190734863,-1,57.3738743272213,107.27291488647461,-1,3.5355339059327373,3,41.283063227349224,0
1781271326000152000,5.484152099609375,116.60662841796875,0.7400000095367432,-1,57.37387738661596,107.01662826538086,-1,3.5355339059327373,3,41.283057360017004,0
1781271327000031000,6.484031005859375,115.9373779296875,0.7200000286102295,81.01699234959075,57.373881158472386,106.34737777709961,283.7109375,3.5355339059327373,3,41.28304998394221,0.3100000023841858
1781271328000029000,7.48402880859375,116.19580078125,1.059999942779541,67.40609189991282,57.37388610379526,106.60580062866211,290.7421875,3.5355339059327373,3,41.28303707581133,0.3100000023841858
1781271329000033800,8.48403369140625,116.392578125,0.7300000190734863,30.40993512843188,57.37389842519292,106.80257797241211,332.2265625,3.5355339059327373,3,41.283026179337206,0.7099999785423279
1781271330000030000,9.484030029296875,115.67779541015625,0.7300000190734863,30.334902085304705,57.37391565000394,106.08779525756836,357.890625,3.5355339059327373,3,41.283025592603984,1.5199999809265137
1781271331000029200,10.484029296875,115.8359375,0.8199999928474426,41.55387711783334,57.37393040215352,106.24593734741211,16.875,3.5355339059327373,3,41.283036405259075,1.2000000476837158
1781271332000033000,11.484032958984375,115.441162109375,0.7799999713897705,38.23653961532277,57.373942975008276,105.85116195678711,31.2890625,3.5355339059327373,3,41.28305383961767,1.2599999904632568
1781271333000033300,12.484033203125,114.36431884765625,0.7799999713897705,48.331248434994386,57.37395060254016,104.77431869506836,54.140625,3.5355339059327373,3,41.28307244744271,1.2000000476837158
1781271334000030700,13.48403076171875,114.36431903671473,0.7799999713897565,52.668500470463435,57.3739569144858,104.77431888412684,54.14063861451349,4.74865153019178,4.0293644381885425,41.28308861271705,1.2000000476836943
1781271335000034800,14.484034912109376,114.65795918460935,0.7300000190734722,46.94506663866756,57.37395215189305,105.06795903202146,88.94533013562308,4.748651530191782,4.02936443818854,41.28311769472527,1.2599999904632324
1781271336000031700,15.48403173828125,113.7343141650781,0.8199999928474266,52.732812742645535,57.373944161066625,104.14431401249021,111.44532891736067,4.748651530191782,4.029364438188541,41.283143321762566,1.2599999904632322
1781271337000032500,16.484032470703124,113.96893345750868,0.7200000286101983,31.03218071978514,57.37393705035739,104.37893330492079,109.33596233342804,4.748651530191807,4.0293644381885105,41.28318399239925,1.8799999952315471
1781271338000031200,17.48403125,113.43994170520455,0.7200000286102044,34.521004514743495,57.37393197509942,103.84994155261666,107.92971000916707,4.748651530191798,4.029364438188521,41.28321375445953,1.6900000572203997
1781271339000026600,18.484026611328126,114.1423342814669,0.7400000095367174,35.47992035422107,57.37392805608403,104.55233412887901,106.52346018098972,4.748651530191799,4.029364438188521,41.283242121670135,1.6900000572203997
1781271340000022000,19.48402197265625,114.10662871226668,0.7300000190734613,35.5061270983805,57.37392388358662,104.5166285596788,109.68752201146624,4.748651530191798,4.029364438188523,41.28326521513236,1.6699999570845987
1781271341000023800,20.48402392578125,114.2437746161595,1.0499999523162635,66.99203881171599,57.373922944920295,104.65377446357161,108.63282934672657,4.748651530191782,4.02936443818854,41.28328003750412,1.2699999809264888
1781271342000030200,21.4840302734375,113.9087527487427,1.1000000238418177,51.82053241210774,57.373918074532774,104.31875259615481,109.68752267057245,4.748651530191799,4.029364438188519,41.283313271661925,1.7200000286101669
1781271343000036400,22.484036376953124,113.68768341094255,0.8600000143050835,40.51423422706941,57.373914925251334,104.09768325835466,107.57814795376852,4.7486515301917995,4.029364438188519,41.28334403422616,1.7200000286101673
1781271344000043000,23.48404296875,113.12597686890513,0.7400000095367163,34.861085134551004,57.37391261304061,103.53597671631724,105.82033566604854,4.7486515301917995,4.02936443818852,41.28337647278718,1.720000028610167
1781271345000048000,24.484048095703123,112.98150664009154,0.8299999833106714,40.51423422706945,57.37390804387755,103.39150648750365,107.92970960955954,4.748651530191797,4.029364438188522,41.28340421974433,1.6599999666213427
1781271346000053800,25.4840537109375,112.45532255619764,0.7300000190734616,40.19367909557111,57.37390417443177,102.86532240360975,109.68752187974377,4.748651530191797,4.029364438188523,41.28342599127746,1.659999966621343
1781271347000059100,26.48405908203125,112.19091824814677,0.7400000095367193,37.01300447674035,57.3739000208545,102.60091809555888,110.74220870825455,4.748651530191795,4.029364438188525,41.28344640019646,1.6200000047683196
1781271348000064300,27.484064208984375,111.42236356250942,0.7799999713897454,39.01370548762605,57.37389482535479,101.83236340992153,108.63283398951562,4.748651530191795,4.029364438188525,41.28347187986473,1.6200000047683196
1781271349000069600,28.484069580078124,110.8394778938964,0.7300000190734544,31.296711092444607,57.37388866353079,101.24947774130851,107.22658777099588,4.748651530191807,4.0293644381885105,41.283501934637535,1.8899999856948024
1781271350000074800,29.48407470703125,110.82305943686515,0.7400000095367107,31.72543274214153,57.37388396551841,101.23305928427726,108.28127512249633,4.7486515301918075,4.0293644381885105,41.28352522764598,1.8899999856948027
1781271351000079000,30.4840791015625,110.82055694330484,0.740000009536717,35.27121514526321,57.37387918520125,101.23055679071695,111.09377220343141,4.748651530191798,4.02936443818852,41.28354363844279,1.7000000476836559
1781271352000085000,31.4840849609375,110.36291528865695,0.8799999952316043,47.53670123551237,57.37387559265196,100.77291513606906,112.85158185022912,4.74865153019179,4.02936443818853,41.28355760121374,1.499999999999959
1781271353000089600,32.484089599609376,110.31738309748471,0.7699999809264886,38.277251132952294,57.3738718275308,100.72738294489682,112.50002108122314,4.748651530191795,4.029364438188524,41.2835789348999,1.6299999952315753
1781271354000094500,33.484094482421874,112.89351897872984,1.4313826875468618,87.36765076462136,57.37385565525895,103.30351882614195,106.8539102144731,6.3738392743147685,3,41.283603025412184,1.3273954617253383
