t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781271320.598862,-0.648854,-4.025273,-8.918887,-0.017717,-0.177468,0.075979
1781271320.608862,-0.669485,-4.021846,-8.918909,-0.043585,-0.204533,0.093375
1781271320.618862,-0.691135,-4.016614,-8.919615,-0.053954,-0.183907,0.109817
1781271320.628862,-0.710244,-4.011469,-8.920429,-0.039777,-0.137177,0.123250
1781271320.638862,-0.725187,-4.008272,-8.920664,-0.011855,-0.079478,0.136235
1781271320.648862,-0.734294,-4.007899,-8.920086,0.026386,-0.003949,0.145146
1781271320.658862,-0.738402,-4.011413,-8.918168,0.075886,0.031419,0.140390
1781271320.668862,-0.740848,-4.018964,-8.914565,0.113207,0.023966,0.117378
1781271320.678862,-0.743232,-4.028362,-8.910123,0.112842,0.015036,0.093452
1781271320.688862,-0.745631,-4.036802,-8.906102,0.088138,0.000557,0.067875
1781271320.698862,-0.749343,-4.043042,-8.902959,0.062438,-0.032020,0.045858
1781271320.708862,-0.754652,-4.047576,-8.900450,0.043839,-0.051616,0.025710
1781271320.718862,-0.759813,-4.050641,-8.898617,0.028063,-0.047867,0.007497
1781271320.728862,-0.763658,-4.052417,-8.897479,0.014687,-0.035665,-0.002347
1781271320.738862,-0.766093,-4.053427,-8.896810,0.007361,-0.023964,-0.010416
1781271320.748862,-0.766276,-4.054303,-8.896394,0.012057,0.011364,-0.009675
1781271320.758862,-0.763729,-4.055647,-8.896001,0.014606,0.039918,-0.002746
1781271320.768862,-0.759122,-4.056807,-8.895866,0.013380,0.058491,-0.004363
1781271320.778862,-0.752935,-4.057530,-8.896062,0.001433,0.070492,-0.014676
1781271320.788862,-0.745991,-4.057920,-8.896469,0.003811,0.067631,-0.021281
1781271320.798862,-0.739274,-4.058832,-8.896614,0.014084,0.064728,-0.022990
1781271320.808862,-0.732822,-4.060938,-8.896186,0.029067,0.059783,-0.020019
1781271320.818862,-0.727093,-4.064461,-8.895048,0.048244,0.047775,-0.023587
1781271320.828862,-0.722224,-4.069939,-8.892939,0.073752,0.038602,-0.024033
1781271320.838862,-0.718452,-4.078225,-8.889448,0.111556,0.024095,-0.016593
1781271320.848862,-0.716889,-4.089700,-8.884301,0.141888,-0.001172,-0.009925
1781271320.858862,-0.717635,-4.102924,-8.878141,0.150078,-0.023957,-0.009209
1781271320.868862,-0.720163,-4.115311,-8.872201,0.128192,-0.039941,-0.009721
1781271320.878862,-0.723488,-4.125287,-8.867297,0.094241,-0.040986,-0.011390
1781271320.888862,-0.726371,-4.131628,-8.864109,0.047621,-0.034837,-0.010834
1781271320.898862,-0.727527,-4.134111,-8.862856,0.004904,-0.018911,-0.033549
1781271320.908862,-0.730172,-4.133521,-8.862913,-0.018240,-0.069569,-0.017098
1781271320.918862,-0.738191,-4.132030,-8.862944,-0.011581,-0.110451,0.019294
1781271320.928862,-0.750293,-4.131447,-8.862200,0.007125,-0.127399,0.051228
1781271320.938862,-0.764250,-4.132475,-8.860527,0.019108,-0.136195,0.060712
1781271320.948862,-0.777091,-4.134158,-8.858625,0.028606,-0.098031,0.059794
1781271320.958862,-0.787835,-4.136302,-8.856675,0.028929,-0.093848,0.050330
1781271320.968862,-0.797226,-4.137981,-8.855050,0.013392,-0.075976,0.037265
1781271320.978862,-0.804149,-4.138218,-8.854315,0.000136,-0.053738,0.031124
1781271320.988862,-0.810720,-4.138306,-8.853674,0.009138,-0.068671,0.031748
1781271320.998862,-0.819124,-4.139220,-8.852473,0.019967,-0.091824,0.033616
1781271321.008862,-0.829198,-4.140700,-8.850842,0.019613,-0.105760,0.030217
1781271321.018862,-0.839455,-4.141471,-8.849515,0.001034,-0.100750,0.024407
1781271321.028862,-0.849706,-4.140048,-8.849202,-0.030931,-0.114195,0.014756
1781271321.038862,-0.861423,-4.135128,-8.850369,-0.075142,-0.136835,0.020613
1781271321.048862,-0.876216,-4.126029,-8.853163,-0.122364,-0.167754,0.049140
1781271321.058862,-0.895879,-4.112750,-8.857371,-0.163403,-0.216322,0.083340
1781271321.068862,-0.920506,-4.095795,-8.862700,-0.195287,-0.250124,0.101000
1781271321.078862,-0.946098,-4.077607,-8.868389,-0.187568,-0.225767,0.100016
1781271321.088862,-0.966429,-4.062567,-8.873099,-0.124527,-0.135942,0.097290
1781271321.098862,-0.976066,-4.055403,-8.875324,-0.011442,0.015486,0.102787
1781271321.108862,-0.970422,-4.059280,-8.874171,0.125902,0.219197,0.130555
1781271321.118862,-0.947212,-4.075511,-8.869233,0.270061,0.435143,0.168370
1781271321.128862,-0.908301,-4.103776,-8.860258,0.404398,0.611627,0.214614
1781271321.138862,-0.857275,-4.142299,-8.847395,0.510239,0.755652,0.257602
1781271321.148862,-0.796418,-4.188349,-8.831378,0.580138,0.871635,0.289065
1781271321.158862,-0.729269,-4.238929,-8.813018,0.611981,0.923297,0.303367
1781271321.168862,-0.662400,-4.289609,-8.793756,0.579865,0.881734,0.305756
1781271321.178862,-0.602833,-4.334136,-8.776199,0.469490,0.761539,0.297907
1781271321.188861,-0.556276,-4.366893,-8.763040,0.313193,0.575338,0.269394
1781271321.198861,-0.526849,-4.385115,-8.755768,0.136230,0.346255,0.240251
1781271321.208861,-0.517292,-4.387677,-8.755060,-0.048519,0.096477,0.207251
1781271321.218861,-0.528360,-4.375375,-8.760552,-0.202540,-0.154257,0.175591
1781271321.228861,-0.557934,-4.351688,-8.770502,-0.310460,-0.343377,0.160275
1781271321.238861,-0.599320,-4.321105,-8.782877,-0.355890,-0.426651,0.165767
1781271321.248861,-0.644250,-4.289432,-8.795211,-0.333327,-0.408820,0.189105
1781271321.258861,-0.684765,-4.262255,-8.805361,-0.246483,-0.311119,0.211974
1781271321.268861,-0.715720,-4.244435,-8.811513,-0.120954,-0.176925,0.225568
1781271321.278861,-0.734721,-4.238345,-8.812886,0.022773,-0.033240,0.234119
1781271321.288861,-0.742084,-4.244604,-8.809258,0.156147,0.093617,0.244372
1781271321.298861,-0.739742,-4.261207,-8.801434,0.257650,0.188184,0.241050
1781271321.308861,-0.730120,-4.284813,-8.790767,0.314869,0.253106,0.226781
1781271321.318861,-0.715480,-4.311947,-8.778693,0.335940,0.287706,0.212279
1781271321.328861,-0.698385,-4.339547,-8.766460,0.322477,0.296192,0.195099
1781271321.338861,-0.681624,-4.365313,-8.754980,0.294247,0.269536,0.178167
1781271321.348861,-0.667526,-4.387716,-8.744864,0.244627,0.218009,0.154576
1781271321.358861,-0.656693,-4.405613,-8.736684,0.187185,0.171224,0.124451
1781271321.368861,-0.648261,-4.419054,-8.730525,0.137040,0.128350,0.092797
1781271321.378861,-0.642932,-4.428800,-8.725981,0.096880,0.078232,0.070771
1781271321.388861,-0.640289,-4.435526,-8.722758,0.067520,0.047531,0.058258
1781271321.398861,-0.639318,-4.440535,-8.720281,0.060521,0.030383,0.049886
1781271321.408861,-0.638658,-4.446489,-8.717295,0.088657,0.037208,0.046845
1781271321.418861,-0.636857,-4.456150,-8.712492,0.145922,0.059200,0.060753
1781271321.428861,-0.633654,-4.472033,-8.704582,0.228677,0.087530,0.080297
1781271321.438861,-0.629085,-4.494732,-8.693211,0.302806,0.111344,0.093947
1781271321.448861,-0.622383,-4.522439,-8.679310,0.347092,0.147075,0.102416
1781271321.458861,-0.611683,-4.552458,-8.664362,0.353109,0.199354,0.090310
1781271321.468861,-0.595645,-4.581905,-8.649945,0.337781,0.248971,0.065877
1781271321.478861,-0.575281,-4.609899,-8.636438,0.320342,0.266756,0.037890
1781271321.488861,-0.554349,-4.636884,-8.623351,0.310285,0.242491,0.018423
1781271321.498861,-0.535630,-4.662862,-8.610519,0.292608,0.204678,0.012382
1781271321.508861,-0.520449,-4.686853,-8.598418,0.265176,0.165429,0.028021
1781271321.518861,-0.509805,-4.708067,-8.587462,0.231358,0.125057,0.053002
1781271321.528861,-0.503701,-4.726129,-8.577896,0.199160,0.092327,0.077040
1781271321.538861,-0.500434,-4.741864,-8.569401,0.179731,0.090189,0.106902
1781271321.548861,-0.497681,-4.756346,-8.561532,0.174095,0.111238,0.133756
1781271321.558861,-0.494066,-4.770447,-8.553893,0.171315,0.136117,0.157182
1781271321.568861,-0.489115,-4.783419,-8.546930,0.148950,0.164326,0.172643
1781271321.578861,-0.481786,-4.793067,-8.541941,0.097663,0.213801,0.185640
1781271321.588861,-0.470380,-4.797873,-8.539878,0.036570,0.268314,0.199466
1781271321.598861,-0.455627,-4.797205,-8.541053,-0.032985,0.295417,0.198829
1781271321.608861,-0.440983,-4.790612,-8.545520,-0.099177,0.247354,0.178615
1781271321.618861,-0.432461,-4.780090,-8.551846,-0.125484,0.129947,0.149958
1781271321.628861,-0.433267,-4.769636,-8.557641,-0.100067,0.015381,0.144641
1781271321.638861,-0.442008,-4.763373,-8.560681,-0.026030,-0.030766,0.179884
1781271321.648861,-0.454210,-4.764317,-8.559517,0.075329,-0.013116,0.256806
1781271321.658861,-0.468798,-4.773301,-8.553721,0.164472,0.006962,0.357579
1781271321.668861,-0.488615,-4.788251,-8.544247,0.228575,-0.023612,0.460951
1781271321.678861,-0.518388,-4.806490,-8.532236,0.252416,-0.100529,0.567066
1781271321.688861,-0.560336,-4.823051,-8.520222,0.206601,-0.176249,0.678730
1781271321.698861,-0.612666,-4.831684,-8.511718,0.090658,-0.218458,0.785548
1781271321.708861,-0.671685,-4.827582,-8.509586,-0.068067,-0.226813,0.843865
1781271321.718861,-0.728917,-4.808440,-8.515711,-0.243745,-0.169021,0.838317
1781271321.728861,-0.783515,-4.774645,-8.529858,-0.387959,-0.159664,0.878465
1781271321.738861,-0.836384,-4.731030,-8.549111,-0.456954,-0.054900,0.909615
1781271321.748861,-0.870970,-4.682562,-8.572323,-0.501525,0.232406,0.835599
1781271321.758861,-0.872967,-4.631361,-8.599894,-0.524696,0.574348,0.758903
1781271321.768861,-0.846259,-4.581013,-8.629470,-0.485459,0.851401,0.784580
1781271321.778861,-0.800683,-4.535677,-8.657714,-0.396251,1.077946,0.900247
1781271321.788861,-0.745024,-4.500294,-8.681117,-0.249038,1.192333,1.034134
1781271321.798861,-0.690358,-4.477568,-8.697387,-0.092674,1.186212,1.158839
1781271321.808861,-0.641053,-4.467699,-8.706243,0.030899,1.068368,0.971555
1781271321.818861,-0.587334,-4.470461,-8.708607,0.135723,0.856962,0.392679
1781271321.828861,-0.532568,-4.484969,-8.704665,0.208645,0.540283,-0.082259
1781271321.838861,-0.489459,-4.504953,-8.696886,0.223180,0.267334,-0.269066
1781271321.848861,-0.459206,-4.526838,-8.687175,0.258078,0.162733,-0.287352
1781271321.858861,-0.428505,-4.554393,-8.674324,0.359636,0.284126,-0.261166
1781271321.868861,-0.382003,-4.593325,-8.655919,0.523780,0.551924,-0.199557
1781271321.878861,-0.314971,-4.646971,-8.629895,0.706689,0.823985,-0.111122
1781271321.888861,-0.234243,-4.715275,-8.595298,0.869860,0.937612,-0.035646
