t_utc[s],pressure[millibar]
1781271320.002083,1001.371994
1781271321.006650,1001.375427
1781271322.011199,1001.378860
1781271323.015794,1001.388016
1781271324.020383,1001.388397
1781271324.372980,1001.392593
1781271325.444480,1001.395493
1781271326.515998,1001.395950
1781271327.587570,1001.399384
1781271328.659131,1001.403275
1781271329.730729,1001.407623
1781271330.802266,1001.412964
1781271331.873771,1001.423721
1781271332.945305,1001.431198
1781271334.016803,1001.440353
1781271335.088297,1001.450348
1781271336.159793,1001.461716
1781271337.231337,1001.466141
1781271338.302887,1001.474457
1781271339.374473,1001.482697
1781271340.446019,1001.488419
1781271341.517520,1001.489944
1781271342.588971,1001.489944
1781271343.660490,1001.489182
1781271344.732040,1001.486053
1781271345.803605,1001.486053
1781271346.875197,1001.490860
1781271347.946739,1001.503296
1781271349.018258,1001.520309
1781271350.089783,1001.541595
1781271351.161260,1001.554413
1781271352.232730,1001.570587
1781271353.304239,1001.583405
1781271354.375794,1001.595306
1781271355.447333,1001.600647
1781271356.518864,1001.602325
1781271357.590384,1001.602325
1781271358.661926,1001.597672
1781271359.733477,1001.591415
1781271360.805043,1001.590118
1781271361.876606,1001.589432
1781271362.948218,1001.588364
1781271364.019744,1001.582031
1781271365.091302,1001.577911
1781271366.162841,1001.569595
1781271367.234421,1001.561432
1781271368.306003,1001.555710
1781271369.377572,1001.552505
1781271370.449164,1001.547470
1781271371.520668,1001.542969
1781271372.592202,1001.537170
1781271373.663722,1001.524734
1781271374.735239,1001.511917
1781271375.806763,1001.503067
1781271376.878315,1001.491928
1781271377.949853,1001.483994
1781271379.021409,1001.476364
1781271380.092957,1001.468658
1781271381.164465,1001.464996
1781271382.235964,1001.462860
1781271383.307491,1001.462555
1781271384.378999,1001.462555
1781271385.450496,1001.462555
1781271386.521986,1001.461334
1781271387.593478,1001.458969
1781271388.665004,1001.453094
1781271389.736514,1001.447296
1781271390.808011,1001.442261
1781271391.879553,1001.438065
1781271392.951083,1001.432037
1781271394.022577,1001.428452
1781271395.094091,1001.425171
1781271396.165635,1001.422272
1781271397.237178,1001.419373
1781271398.308641,1001.416473
1781271399.380175,1001.413193
1781271400.451721,1001.405869
1781271401.523217,1001.399307
1781271402.594698,1001.394958
1781271403.666154,1001.391525
1781271404.737611,1001.389923
1781271405.809075,1001.389084
1781271406.880528,1001.387939
1781271407.952042,1001.387939
1781271409.023524,1001.387939
1781271410.095017,1001.384888
1781271411.166525,1001.380844
1781271412.238009,1001.377563
1781271413.309522,1001.373138
1781271414.381007,1001.367798
1781271415.452529,1001.365967
1781271416.524040,1001.363831
1781271417.595560,1001.363602
1781271418.667090,1001.360779
1781271419.738572,1001.360779
1781271420.810121,1001.361923
1781271421.881691,1001.361923
1781271422.953199,1001.360550
1781271424.024702,1001.360550
1781271425.096190,1001.360779
1781271426.167709,1001.360779
1781271427.239210,1001.354141
1781271428.310718,1001.350174
1781271429.382237,1001.344299
1781271430.453749,1001.337509
1781271431.525257,1001.332474
1781271432.596823,1001.328888
1781271433.668305,1001.327896
1781271434.739766,1001.326141
1781271435.811273,1001.323395
1781271436.882809,1001.323395
1781271437.954307,1001.324615
1781271439.025795,1001.325912
1781271440.097304,1001.328659
1781271441.168770,1001.330566
1781271442.240262,1001.330872
1781271443.311835,1001.331177
1781271444.383392,1001.331177
1781271445.454902,1001.332932
1781271446.526386,1001.333771
1781271447.597879,1001.334457
1781271448.669347,1001.337891
1781271449.740814,1001.337967
1781271450.812277,1001.342545
1781271451.883752,1001.345367
1781271452.955236,1001.352463
1781271454.026774,1001.353378
1781271455.098322,1001.353378
1781271456.169838,1001.351013
1781271457.241338,1001.350327
1781271458.312857,1001.349564
1781271459.384411,1001.349564
1781271460.455928,1001.351624
1781271461.527420,1001.357498
1781271462.598909,1001.364746
1781271463.670364,1001.371307
1781271464.741773,1001.381454
1781271465.813169,1001.386948
1781271466.884630,1001.392136
1781271467.956071,1001.396790
1781271469.027528,1001.402130
1781271470.099004,1001.406403
1781271471.170489,1001.409302
1781271472.241975,1001.412811
1781271473.313460,1001.416550
1781271474.384948,1001.421356
1781271475.456414,1001.422806
1781271476.527840,1001.426010
1781271477.599288,1001.428223
1781271478.670707,1001.430740
1781271479.742157,1001.435089
1781271480.813682,1001.435089
1781271481.885173,1001.433868
1781271482.956702,1001.433182
1781271484.028153,1001.433182
1781271485.099561,1001.433182
1781271486.171066,1001.431580
1781271487.242524,1001.431580
1781271488.314002,1001.431046
1781271489.385538,1001.429749
1781271490.457116,1001.424026
1781271491.528616,1001.423111
1781271492.600094,1001.423111
1781271493.671521,1001.424866
1781271494.742965,1001.425476
1781271495.814431,1001.428833
1781271496.885929,1001.430969
1781271497.957420,1001.431808
1781271499.028866,1001.430969
1781271500.100300,1001.430511
1781271501.171784,1001.426773
1781271502.243223,1001.421967
