t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781257670.711408,-1.855296,-4.674409,-8.418917,-0.213083,-0.434289,-0.128851
1781257670.721408,-1.884948,-4.659474,-8.420609,-0.198745,-0.412741,-0.127713
1781257670.731408,-1.912849,-4.645935,-8.421798,-0.181029,-0.391855,-0.130556
1781257670.741408,-1.938941,-4.633634,-8.422608,-0.172617,-0.371284,-0.128942
1781257670.751408,-1.964153,-4.622012,-8.423151,-0.165601,-0.377050,-0.138311
1781257670.761408,-1.990930,-4.611305,-8.422734,-0.156049,-0.422834,-0.153596
1781257670.771407,-2.021017,-4.601645,-8.420850,-0.151251,-0.474515,-0.176873
1781257670.781407,-2.054323,-4.592672,-8.417690,-0.154116,-0.522463,-0.199861
1781257670.791407,-2.090230,-4.583847,-8.413658,-0.159782,-0.556975,-0.223997
1781257670.801407,-2.127568,-4.575359,-8.408918,-0.161968,-0.595433,-0.264737
1781257670.811407,-2.166189,-4.568018,-8.403047,-0.162422,-0.640755,-0.311165
1781257670.821407,-2.206877,-4.562043,-8.395701,-0.159969,-0.695816,-0.368950
1781257670.831407,-2.248550,-4.558297,-8.386673,-0.140818,-0.722516,-0.425914
1781257670.841407,-2.289044,-4.557195,-8.376312,-0.121029,-0.717601,-0.448571
1781257670.851407,-2.328999,-4.558443,-8.364610,-0.092408,-0.717422,-0.430798
1781257670.861407,-2.369902,-4.561540,-8.351422,-0.077639,-0.727828,-0.418473
1781257670.871407,-2.414366,-4.564712,-8.336939,-0.092670,-0.804684,-0.427015
1781257670.881407,-2.465936,-4.566951,-8.320602,-0.116386,-0.921426,-0.464559
1781257670.891407,-2.524772,-4.567785,-8.302476,-0.154978,-1.020196,-0.497317
1781257670.901407,-2.588752,-4.565363,-8.284084,-0.208326,-1.051826,-0.482761
1781257670.911407,-2.651832,-4.557852,-8.268252,-0.254195,-0.950746,-0.400431
1781257670.921407,-2.710258,-4.545688,-8.255995,-0.259729,-0.849630,-0.277133
1781257670.931407,-2.773499,-4.530157,-8.243517,-0.174808,-0.790156,0.101019
1781257670.941407,-2.843166,-4.511646,-8.229922,-0.140850,-0.676073,0.241960
1781257670.951407,-2.911945,-4.494978,-8.214980,-0.146919,-0.817866,0.133206
1781257670.961407,-2.994170,-4.476334,-8.195573,-0.182299,-0.978484,0.246531
1781257670.971407,-3.091152,-4.449180,-8.174316,-0.315673,-1.139994,0.196281
1781257670.981407,-3.203659,-4.413226,-8.150439,-0.432910,-1.459420,0.126764
1781257670.991407,-3.332354,-4.373725,-8.120058,-0.421282,-1.517719,0.112748
1781257671.001407,-3.450681,-4.340407,-8.088461,-0.347987,-1.328905,0.002588
1781257671.011407,-3.548929,-4.316905,-8.058487,-0.306430,-1.189932,-0.133980
1781257671.021407,-3.632381,-4.297840,-8.031458,-0.343241,-1.087267,-0.239087
1781257671.031407,-3.702880,-4.279521,-8.009022,-0.369230,-0.973965,-0.330119
1781257671.041407,-3.758452,-4.265446,-7.990630,-0.292432,-0.762504,-0.344337
1781257671.051407,-3.793078,-4.260663,-7.976817,-0.121843,-0.438861,-0.274085
1781257671.061407,-3.810477,-4.265494,-7.965938,-0.009676,-0.288910,-0.239820
1781257671.071407,-3.821683,-4.277173,-7.954300,0.053011,-0.279231,-0.276080
1781257671.081407,-3.833050,-4.295501,-7.938938,0.107347,-0.344820,-0.332857
1781257671.091407,-3.849203,-4.317813,-7.918992,0.091578,-0.479499,-0.391954
1781257671.101407,-3.875764,-4.341552,-7.893011,0.076278,-0.666770,-0.506363
1781257671.111407,-3.905744,-4.372252,-7.861218,0.141850,-0.699689,-0.627709
1781257671.121407,-3.929757,-4.412651,-7.826599,0.194388,-0.684882,-0.743451
1781257671.131407,-3.948895,-4.459364,-7.790404,0.172155,-0.721026,-0.865480
1781257671.141407,-3.966286,-4.505183,-7.755127,0.007593,-0.838332,-1.070422
1781257671.151407,-3.978286,-4.546753,-7.724666,-0.145380,-0.832190,-1.279174
1781257671.161407,-3.977318,-4.584093,-7.703069,-0.228480,-0.661395,-1.296180
1781257671.171407,-3.960571,-4.615920,-7.692687,-0.260480,-0.418689,-1.256178
1781257671.181407,-3.942300,-4.642471,-7.686093,-0.178354,-0.577256,-0.891325
1781257671.191407,-3.994654,-4.653678,-7.652188,0.022624,-1.080209,0.021668
1781257671.201407,-4.063914,-4.649943,-7.617905,0.067362,-0.512414,0.268357
1781257671.211407,-4.109312,-4.649400,-7.593867,0.117670,-0.542045,0.082341
1781257671.221407,-4.158192,-4.662010,-7.559441,0.126519,-0.802229,-0.221853
1781257671.231407,-4.204639,-4.684569,-7.519695,0.100541,-0.817532,-0.415443
1781257671.241407,-4.246563,-4.709183,-7.480664,0.088690,-0.833247,-0.396080
1781257671.251407,-4.284579,-4.731131,-7.445056,0.146844,-0.523547,-0.211183
1781257671.261407,-4.305540,-4.749140,-7.421473,0.205464,-0.203544,-0.045079
1781257671.271407,-4.311198,-4.770098,-7.404731,0.367592,0.035850,0.039734
1781257671.281407,-4.310838,-4.800205,-7.385455,0.462614,-0.032265,0.008099
1781257671.291407,-4.324067,-4.833030,-7.356251,0.420415,-0.333895,0.024533
1781257671.301407,-4.366947,-4.856781,-7.315147,0.274459,-0.775779,0.065909
1781257671.311407,-4.437277,-4.868468,-7.264856,0.169967,-0.940577,0.058742
1781257671.321407,-4.497859,-4.887404,-7.214725,0.419217,-0.763038,0.097694
1781257671.331407,-4.560946,-4.911254,-7.158694,0.369866,-0.794151,0.139872
1781257671.341407,-4.616776,-4.927868,-7.111351,0.345049,-0.504985,0.223837
