t_utc[s],pressure[millibar]
1781257670.114659,1002.407074
1781257671.119121,1002.407150
1781257672.123589,1002.407074
1781257673.128073,1002.407303
1781257674.132596,1002.409439
1781257674.485363,1002.428055
1781257675.556866,1002.428055
1781257676.628393,1002.428055
1781257677.699921,1002.426987
1781257678.771355,1002.426987
1781257679.842802,1002.424774
1781257680.914246,1002.424774
1781257681.985743,1002.436600
1781257683.057233,1002.451324
1781257684.128714,1002.482834
1781257685.200154,1002.533951
1781257686.271637,1002.600403
1781257687.343130,1002.665253
1781257688.414626,1002.725906
1781257689.486081,1002.767563
1781257690.557583,1002.782440
1781257691.629093,1002.782440
1781257692.700615,1002.772446
1781257693.772136,1002.760086
1781257694.843667,1002.748566
1781257695.915170,1002.748566
1781257696.986686,1002.751236
1781257698.058177,1002.761230
1781257699.129680,1002.774200
1781257700.201187,1002.800140
1781257701.272697,1002.831726
1781257702.344181,1002.866592
1781257703.415690,1002.899780
1781257704.487220,1002.933960
1781257705.558761,1002.971878
1781257706.630302,1003.016968
1781257707.701791,1003.069229
1781257708.773329,1003.138275
1781257709.844830,1003.213501
1781257710.916354,1003.294983
1781257711.987831,1003.379974
1781257713.059325,1003.457718
1781257714.130844,1003.532333
1781257715.202447,1003.596344
1781257716.274035,1003.655090
1781257717.345595,1003.709030
1781257718.417164,1003.766861
1781257719.488714,1003.835449
1781257720.560263,1003.922577
1781257721.631801,1004.012451
1781257722.703368,1004.100342
1781257723.774910,1004.170227
1781257724.846437,1004.221268
1781257725.917974,1004.242630
1781257726.989509,1004.246140
1781257728.061033,1004.246979
1781257729.132620,1004.246979
1781257730.204160,1004.255371
1781257731.275696,1004.267197
1781257732.347205,1004.276047
1781257733.418715,1004.283066
1781257734.490228,1004.291840
1781257735.561764,1004.297791
1781257736.633287,1004.301682
1781257737.704783,1004.311829
1781257738.776290,1004.314651
1781257739.847796,1004.314651
1781257740.919274,1004.309692
1781257741.990782,1004.309692
1781257743.062263,1004.312057
1781257744.133731,1004.317551
1781257745.205239,1004.333954
1781257746.276720,1004.356079
1781257747.348196,1004.375381
1781257748.419675,1004.395065
1781257749.491233,1004.412689
1781257750.562692,1004.426422
1781257751.634170,1004.432907
1781257752.705636,1004.437561
1781257753.777166,1004.440308
1781257754.848724,1004.440308
1781257755.920215,1004.437485
1781257756.991714,1004.420929
1781257758.063177,1004.394608
1781257759.134679,1004.355469
1781257760.206235,1004.317169
1781257761.277791,1004.281693
1781257762.349339,1004.243469
1781257763.420886,1004.214554
1781257764.492416,1004.198227
1781257765.563911,1004.189911
1781257766.635380,1004.178848
1781257767.706865,1004.178848
1781257768.778312,1004.170837
1781257769.849738,1004.162369
1781257770.921199,1004.148712
1781257771.992641,1004.125137
1781257773.064095,1004.097748
1781257774.135500,1004.065552
1781257775.206930,1004.027176
1781257776.278377,1003.981323
1781257777.349810,1003.928528
1781257778.421241,1003.877106
1781257779.492662,1003.820877
1781257780.564064,1003.755569
1781257781.635505,1003.675079
1781257782.706947,1003.581848
1781257783.778404,1003.482895
1781257784.849811,1003.394241
1781257785.921232,1003.328705
1781257786.992672,1003.293991
1781257788.064119,1003.279572
1781257789.135560,1003.279572
1781257790.207002,1003.303833
1781257791.278492,1003.303833
1781257792.349981,1003.301849
1781257793.421445,1003.301315
1781257794.492917,1003.300323
1781257795.564406,1003.276672
1781257796.635874,1003.274689
1781257797.707321,1003.270950
1781257798.778700,1003.270950
1781257799.850093,1003.269806
1781257800.921499,1003.269806
1781257801.992908,1003.270721
1781257803.064353,1003.270721
1781257804.135736,1003.270721
1781257805.207115,1003.270645
1781257806.278553,1003.269958
1781257807.350004,1003.268814
1781257808.421452,1003.268814
1781257809.492863,1003.270340
1781257810.564356,1003.274765
1781257811.635834,1003.275833
1781257812.707290,1003.279419
1781257813.778748,1003.278961
1781257814.850152,1003.279419
1781257815.921563,1003.278961
1781257816.992972,1003.279724
1781257818.064439,1003.282776
1781257819.135892,1003.283081
1781257820.207332,1003.284912
1781257821.278751,1003.284912
1781257822.350199,1003.283234
1781257823.421609,1003.282547
1781257824.493005,1003.283157
1781257825.564401,1003.282547
1781257826.635795,1003.282471
1781257827.707197,1003.282471
1781257828.778567,1003.282471
1781257829.849894,1003.276443
1781257830.921280,1003.262787
1781257831.992675,1003.248520
1781257833.064053,1003.227844
1781257834.135402,1003.203659
1781257835.206752,1003.181152
1781257836.278155,1003.168869
1781257837.349579,1003.164825
1781257838.421047,1003.153000
1781257839.492474,1003.136749
1781257840.563890,1003.124466
1781257841.635332,1003.109360
1781257842.706812,1003.091507
1781257843.778257,1003.091507
1781257844.849669,1003.095322
1781257845.921072,1003.099060
1781257846.992471,1003.103104
1781257848.063953,1003.104019
1781257849.135426,1003.104706
1781257850.206884,1003.109360
1781257851.278333,1003.112717
1781257852.349808,1003.113098
1781257853.421271,1003.113098
1781257854.492758,1003.107452
1781257855.564244,1003.096008
1781257856.635729,1003.083878
1781257857.707198,1003.069000
1781257858.778627,1003.059311
1781257859.850019,1003.052521
1781257860.921423,1003.051224
1781257861.992896,1003.051224
1781257863.064306,1003.054581
1781257864.135737,1003.057404
1781257865.207213,1003.059006
1781257866.278689,1003.063202
1781257867.350139,1003.064499
1781257868.421580,1003.065109
1781257869.493082,1003.066711
1781257870.564530,1003.069839
1781257871.635945,1003.071671
1781257872.707378,1003.073959
1781257873.778856,1003.075562
1781257874.850284,1003.075562
1781257875.921710,1003.072205
1781257876.993161,1003.068161
1781257878.064579,1003.063965
1781257879.136035,1003.060837
1781257880.207503,1003.060837
1781257881.278972,1003.066177
1781257882.350454,1003.073807
1781257883.421929,1003.081741
1781257884.493395,1003.090363
1781257885.564839,1003.093643
1781257886.636290,1003.093643
1781257887.707737,1003.092651
1781257888.779161,1003.088989
1781257889.850650,1003.088989
1781257890.922147,1003.096008
1781257891.993599,1003.113480
1781257893.065037,1003.137436
1781257894.136460,1003.163376
1781257895.207923,1003.185959
1781257896.279331,1003.203506
1781257897.350834,1003.213959
1781257898.422328,1003.213959
1781257899.493801,1003.207703
1781257900.565253,1003.199844
1781257901.636690,1003.198624
1781257902.708187,1003.198624
1781257903.779676,1003.202057
1781257904.851156,1003.209381
1781257905.922665,1003.211212
1781257906.994127,1003.211212
1781257908.065561,1003.203964
1781257909.137012,1003.200455
1781257910.208490,1003.199844
1781257911.279980,1003.199844
1781257912.351423,1003.204956
1781257913.422893,1003.210678
1781257914.494357,1003.210678
1781257915.565809,1003.208160
1781257916.637291,1003.207932
1781257917.708796,1003.207779
1781257918.780311,1003.207932
1781257919.851838,1003.209229
1781257920.923376,1003.210297
1781257921.994912,1003.210297
1781257923.066400,1003.204117
1781257924.137862,1003.204041
1781257925.209316,1003.204041
1781257926.280765,1003.207626
1781257927.352202,1003.211899
1781257928.423662,1003.216476
1781257929.495122,1003.216476
1781257930.566544,1003.212509
1781257931.637978,1003.206177
1781257932.709411,1003.204803
1781257933.780831,1003.204803
1781257934.852255,1003.206635
1781257935.923644,1003.209686
1781257936.995015,1003.218231
1781257938.066411,1003.226242
1781257939.137826,1003.226242
1781257940.209245,1003.220978
1781257941.280625,1003.217163
1781257942.351956,1003.213501
1781257943.423353,1003.201447
1781257944.494748,1003.201447
1781257945.566159,1003.200531
1781257946.637558,1003.200531
