t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781271551.828834,-0.423757,-4.202553,-8.850388,0.050888,-0.066100,0.087211
1781271551.838834,-0.439690,-4.206517,-8.847727,0.052717,-0.188009,0.133045
1781271551.848834,-0.467888,-4.210138,-8.844558,0.044081,-0.298681,0.176132
1781271551.858834,-0.505719,-4.212021,-8.841578,0.019271,-0.369335,0.197277
1781271551.868834,-0.547516,-4.211512,-8.839330,-0.007590,-0.381852,0.202046
1781271551.878834,-0.588779,-4.208344,-8.838187,-0.039340,-0.357342,0.209815
1781271551.888834,-0.628563,-4.202043,-8.838445,-0.075631,-0.344058,0.213856
1781271551.898834,-0.667652,-4.192218,-8.840243,-0.114051,-0.342238,0.209659
1781271551.908834,-0.706396,-4.179636,-8.843190,-0.139099,-0.345135,0.184291
1781271551.918834,-0.743077,-4.165272,-8.846960,-0.154851,-0.325924,0.151457
1781271551.928834,-0.775959,-4.150335,-8.851156,-0.161214,-0.293908,0.117148
1781271551.938834,-0.804200,-4.135191,-8.855723,-0.160749,-0.248192,0.094253
1781271551.948834,-0.828007,-4.120585,-8.860336,-0.149415,-0.203340,0.089949
1781271551.958834,-0.848642,-4.107842,-8.864300,-0.118148,-0.179562,0.100883
1781271551.968834,-0.868699,-4.098354,-8.866749,-0.071195,-0.178018,0.110665
1781271551.978834,-0.889197,-4.093970,-8.866742,-0.005422,-0.180427,0.110478
1781271551.988834,-0.909556,-4.095692,-8.863881,0.068644,-0.182420,0.109172
1781271551.998834,-0.930192,-4.103612,-8.858074,0.130837,-0.179774,0.118931
1781271552.008834,-0.950694,-4.116260,-8.850025,0.181099,-0.163316,0.134207
1781271552.018834,-0.970443,-4.132733,-8.840199,0.218954,-0.158252,0.138881
1781271552.028834,-0.990003,-4.152054,-8.828969,0.245404,-0.160410,0.130130
1781271552.038834,-1.009637,-4.173129,-8.816801,0.257066,-0.168986,0.107962
1781271552.048833,-1.028914,-4.194577,-8.804386,0.252657,-0.182297,0.073715
1781271552.058833,-1.047788,-4.215294,-8.792257,0.231553,-0.191487,0.044504
1781271552.068833,-1.066276,-4.233935,-8.781070,0.198887,-0.193582,0.025347
1781271552.078833,-1.083713,-4.250090,-8.771126,0.176747,-0.177925,0.020708
1781271552.088833,-1.099491,-4.264002,-8.762407,0.147221,-0.163474,0.017537
1781271552.098833,-1.113695,-4.275167,-8.755170,0.112700,-0.146411,0.008959
1781271552.108833,-1.125520,-4.283361,-8.749651,0.075239,-0.119985,-0.007410
1781271552.118833,-1.133555,-4.288627,-8.746034,0.040600,-0.079794,-0.030212
1781271552.128833,-1.135846,-4.292053,-8.744056,0.030827,-0.011437,-0.046189
1781271552.138833,-1.131974,-4.296229,-8.742507,0.053224,0.045783,-0.055470
1781271552.148833,-1.124855,-4.303473,-8.739863,0.099618,0.063666,-0.046432
1781271552.158833,-1.117973,-4.314613,-8.735252,0.143637,0.046333,-0.040486
1781271552.168833,-1.113191,-4.328849,-8.728816,0.168373,0.019910,-0.048747
1781271552.178833,-1.109522,-4.344307,-8.721601,0.165977,0.012392,-0.066438
1781271552.188833,-1.103804,-4.358788,-8.715099,0.145335,0.046984,-0.085520
1781271552.198833,-1.093647,-4.371338,-8.710092,0.121554,0.097728,-0.088449
