t_utc[s],pressure[millibar]
1781271551.247384,1001.416321
1781271552.251930,1001.422577
1781271553.256523,1001.428909
1781271554.261103,1001.431351
1781271555.265712,1001.437531
1781271555.618355,1001.440277
1781271556.689948,1001.440277
1781271557.761479,1001.438141
1781271558.832987,1001.436920
1781271559.904556,1001.435394
1781271560.976117,1001.430588
1781271562.047727,1001.430588
1781271563.119356,1001.435776
1781271564.190950,1001.442566
1781271565.262551,1001.452332
1781271566.334162,1001.466522
1781271567.405684,1001.471863
1781271568.477287,1001.477737
1781271569.548866,1001.478729
1781271570.620431,1001.478729
1781271571.692033,1001.479187
1781271572.763642,1001.478882
1781271573.835275,1001.478882
1781271574.906889,1001.475677
1781271575.978525,1001.474915
1781271577.050135,1001.474915
1781271578.121795,1001.476288
1781271579.193392,1001.483612
1781271580.265016,1001.496887
1781271581.336629,1001.510162
1781271582.408222,1001.521606
1781271583.479844,1001.536331
1781271584.551464,1001.543655
1781271585.623116,1001.556015
1781271586.694791,1001.571426
1781271587.766426,1001.581879
1781271588.838057,1001.585083
1781271589.909733,1001.585083
1781271590.981401,1001.580734
1781271592.053041,1001.573105
1781271593.124665,1001.571426
1781271594.196291,1001.567612
1781271595.267915,1001.563721
1781271596.339560,1001.558990
1781271597.411186,1001.554413
1781271598.482852,1001.547928
1781271599.554500,1001.537476
1781271600.626189,1001.525116
1781271601.697852,1001.517334
1781271602.769454,1001.513062
1781271603.841090,1001.506119
1781271604.912726,1001.501389
1781271605.984351,1001.499405
1781271607.056009,1001.495361
1781271608.127622,1001.494675
1781271609.199244,1001.492157
1781271610.270836,1001.488571
1781271611.342384,1001.479416
1781271612.413964,1001.471329
1781271613.485537,1001.464081
1781271614.557064,1001.463318
1781271615.628681,1001.462555
1781271616.700312,1001.462250
1781271617.771917,1001.462250
1781271618.843522,1001.461182
1781271619.915078,1001.459503
1781271620.986661,1001.458511
1781271622.058235,1001.458206
1781271623.129817,1001.453705
1781271624.201428,1001.448669
1781271625.273063,1001.445312
1781271626.344693,1001.439896
1781271627.416272,1001.435165
1781271628.487846,1001.433716
1781271629.559459,1001.433716
1781271630.631073,1001.433792
1781271631.702691,1001.433792
1781271632.774286,1001.433334
1781271633.845873,1001.427689
1781271634.917462,1001.422348
1781271635.989014,1001.417389
1781271637.060535,1001.407623
1781271638.132067,1001.400757
1781271639.203635,1001.393280
1781271640.275194,1001.387711
1781271641.346756,1001.382141
1781271642.418337,1001.382065
1781271643.489891,1001.379089
1781271644.561399,1001.377792
1781271645.632939,1001.374283
1781271646.704499,1001.369095
1781271647.776057,1001.364288
1781271648.847613,1001.363525
1781271649.919188,1001.361008
1781271650.990719,1001.361008
1781271652.062248,1001.365509
1781271653.133821,1001.365509
1781271654.205379,1001.362610
1781271655.276935,1001.357269
1781271656.348517,1001.355133
1781271657.420057,1001.349106
1781271658.491612,1001.344757
1781271659.563157,1001.340256
1781271660.634650,1001.332626
1781271661.706137,1001.325073
1781271662.777700,1001.317291
1781271663.849234,1001.317291
1781271664.920775,1001.317596
1781271665.992284,1001.317902
1781271667.063837,1001.319733
1781271668.135410,1001.319733
1781271669.206954,1001.319656
1781271670.278507,1001.313629
1781271671.350035,1001.311188
1781271672.421563,1001.310730
1781271673.493084,1001.310349
1781271674.564603,1001.309814
1781271675.636131,1001.308289
1781271676.707661,1001.304550
1781271677.779206,1001.300278
1781271678.850738,1001.297073
1781271679.922295,1001.296463
1781271680.993880,1001.295090
1781271682.065441,1001.296463
1781271683.136968,1001.296921
1781271684.208545,1001.299744
1781271685.280073,1001.299744
1781271686.351666,1001.302032
1781271687.423262,1001.302872
1781271688.494795,1001.310806
1781271689.566342,1001.315765
1781271690.637879,1001.324158
1781271691.709375,1001.324997
1781271692.780855,1001.328888
1781271693.852365,1001.334000
1781271694.923902,1001.338806
1781271695.995471,1001.339951
1781271697.067037,1001.347961
1781271698.138507,1001.348877
1781271699.209968,1001.349411
1781271700.281475,1001.351089
1781271701.353015,1001.356125
1781271702.424539,1001.357346
1781271703.496032,1001.363525
1781271704.567526,1001.371155
1781271705.639028,1001.378250
1781271706.710542,1001.387711
1781271707.782016,1001.394730
1781271708.853521,1001.395111
1781271709.925006,1001.397858
1781271710.996539,1001.400681
1781271712.068048,1001.401520
1781271713.139561,1001.402740
1781271714.211101,1001.405487
1781271715.282574,1001.405716
1781271716.354044,1001.407166
1781271717.425579,1001.408005
1781271718.497068,1001.410446
1781271719.568591,1001.411209
1781271720.640050,1001.411896
1781271721.711515,1001.411896
1781271722.782994,1001.409149
1781271723.854490,1001.407471
1781271724.926034,1001.406937
1781271725.997547,1001.407471
1781271727.069037,1001.410294
1781271728.140579,1001.413269
1781271729.212085,1001.415710
1781271730.283615,1001.420212
1781271731.355134,1001.422043
1781271732.426606,1001.422348
1781271733.498143,1001.422348
1781271734.569683,1001.420364
1781271735.641216,1001.411209
