t_utc[s],pressure[millibar]
1781265276.851131,1001.665955
1781265277.855393,1001.669693
1781265278.859685,1001.673431
1781265279.863931,1001.675415
1781265280.868169,1001.677780
1781265281.221181,1001.683197
1781265282.292400,1001.696014
1781265283.363593,1001.714172
1781265284.434820,1001.737823
1781265285.506074,1001.764297
1781265286.577286,1001.788101
1781265287.648527,1001.810760
1781265288.719737,1001.832809
1781265289.791010,1001.857758
1781265290.862296,1001.886597
1781265291.933556,1001.922836
1781265293.004846,1001.957474
1781265294.076133,1001.988144
1781265295.147386,1002.008972
1781265296.218644,1002.021866
1781265297.289911,1002.026749
1781265298.361170,1002.026749
1781265299.432451,1002.024841
1781265300.503745,1002.024536
1781265301.575024,1002.023849
1781265302.646306,1002.023849
1781265303.717556,1002.026215
1781265304.788840,1002.027740
1781265305.860085,1002.028122
1781265306.931314,1002.029572
1781265308.002546,1002.029572
1781265309.073776,1002.029572
1781265310.145001,1002.029343
1781265311.216231,1002.029343
1781265312.287479,1002.028351
1781265313.358744,1002.027588
1781265314.429986,1002.026520
1781265315.501255,1002.026825
1781265316.572516,1002.026825
1781265317.643762,1002.027359
1781265318.715004,1002.027359
1781265319.786259,1002.028580
1781265320.857499,1002.029724
1781265321.928733,1002.034607
1781265322.999962,1002.038956
1781265324.071247,1002.044449
1781265325.142493,1002.050171
1781265326.213687,1002.052689
1781265327.284903,1002.053146
1781265328.356107,1002.052689
1781265329.427322,1002.050171
1781265330.498542,1002.047119
1781265331.569782,1002.043991
1781265332.640998,1002.042084
1781265333.712223,1002.039719
1781265334.783480,1002.039719
1781265335.854732,1002.039871
1781265336.925998,1002.045746
1781265337.997247,1002.059174
1781265339.068465,1002.075119
1781265340.139707,1002.090836
1781265341.210925,1002.104416
1781265342.282195,1002.115326
1781265343.353449,1002.115326
1781265344.424719,1002.113037
1781265345.496028,1002.109375
1781265346.567332,1002.106628
1781265347.638633,1002.103424
1781265348.709902,1002.103348
1781265349.781215,1002.103348
1781265350.852490,1002.103958
1781265351.923734,1002.104416
1781265352.995035,1002.106705
1781265354.066347,1002.106705
1781265355.137633,1002.106934
1781265356.208922,1002.106934
1781265357.280226,1002.108231
1781265358.351528,1002.108688
1781265359.422804,1002.111130
1781265360.494102,1002.114868
1781265361.565360,1002.116776
1781265362.636650,1002.117462
1781265363.707895,1002.119904
1781265364.779139,1002.121277
1781265365.850373,1002.121658
1781265366.921562,1002.121887
1781265367.992795,1002.123260
1781265369.064035,1002.123260
1781265370.135284,1002.121887
1781265371.206558,1002.120819
1781265372.277826,1002.120819
1781265373.349149,1002.120590
1781265374.420438,1002.120590
1781265375.491727,1002.120285
1781265376.563034,1002.119293
1781265377.634303,1002.118835
1781265378.705580,1002.117462
1781265379.776860,1002.117462
1781265380.848070,1002.119370
1781265381.919296,1002.119370
1781265382.990513,1002.120285
1781265384.061734,1002.123718
1781265385.132928,1002.129364
1781265386.204125,1002.143173
1781265387.275334,1002.150726
1781265388.346542,1002.155685
1781265389.417775,1002.159195
1781265390.489025,1002.159195
1781265391.560295,1002.156448
1781265392.631553,1002.151108
1781265393.702764,1002.150116
1781265394.773959,1002.144699
1781265395.845163,1002.137909
1781265396.916450,1002.130737
1781265397.987687,1002.128220
1781265399.058947,1002.126846
1781265400.130232,1002.126846
1781265401.201520,1002.127380
1781265402.272787,1002.128677
1781265403.344089,1002.131195
1781265404.415349,1002.134323
1781265405.486622,1002.136078
1781265406.557874,1002.140656
1781265407.629164,1002.150345
1781265408.700484,1002.159119
1781265409.771760,1002.168961
1781265410.843060,1002.175980
1781265411.914319,1002.175980
1781265412.985552,1002.174225
1781265414.056837,1002.165298
1781265415.128138,1002.165298
1781265416.199472,1002.165756
1781265417.270756,1002.167358
1781265418.342100,1002.172775
1781265419.413411,1002.172775
1781265420.484691,1002.171478
1781265421.556016,1002.161865
1781265422.627368,1002.153168
1781265423.698744,1002.141495
1781265424.770087,1002.129669
1781265425.841407,1002.122955
1781265426.912713,1002.116852
1781265427.984011,1002.106094
1781265429.055317,1002.092667
1781265430.126655,1002.080536
1781265431.197998,1002.068100
1781265432.269257,1002.056351
1781265433.340564,1002.052765
1781265434.411872,1002.050247
1781265435.483232,1002.044525
1781265436.554546,1002.037125
1781265437.625889,1002.030029
1781265438.697237,1002.023468
1781265439.768593,1002.017899
1781265440.839984,1002.012405
1781265441.911323,1001.998215
1781265442.982618,1001.975021
1781265444.053941,1001.942215
1781265445.125228,1001.902390
1781265446.196559,1001.861496
1781265447.267895,1001.826324
1781265448.339261,1001.792679
1781265449.410626,1001.761475
1781265450.481959,1001.731491
1781265451.553301,1001.704941
1781265452.624648,1001.684189
1781265453.695946,1001.665115
1781265454.767268,1001.655197
1781265455.838593,1001.652145
1781265456.909947,1001.649399
1781265457.981295,1001.649399
