t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781265277.458394,-0.546094,-0.378917,-9.784099,-0.143722,-0.215676,0.071170
1781265277.468394,-0.564502,-0.363861,-9.783625,-0.157065,-0.153825,0.067639
1781265277.478394,-0.576431,-0.347267,-9.783533,-0.172801,-0.083633,0.063351
1781265277.488394,-0.581847,-0.330072,-9.783808,-0.169011,-0.026359,0.058852
1781265277.498394,-0.583459,-0.314251,-9.784232,-0.143547,-0.005168,0.061675
1781265277.508394,-0.583775,-0.301855,-9.784604,-0.100521,0.003740,0.061071
1781265277.518394,-0.582999,-0.294226,-9.784883,-0.047679,0.023400,0.043281
1781265277.528394,-0.579215,-0.292176,-9.785169,0.008934,0.059723,0.014693
1781265277.538394,-0.572067,-0.295640,-9.785485,0.062129,0.087022,-0.015472
1781265277.548394,-0.562063,-0.303623,-9.785820,0.097037,0.116152,-0.039875
1781265277.558394,-0.548934,-0.314208,-9.786231,0.110993,0.150498,-0.052009
1781265277.568394,-0.533120,-0.325495,-9.786737,0.111561,0.166263,-0.045530
1781265277.578394,-0.516931,-0.336008,-9.787249,0.100882,0.158319,-0.033120
1781265277.588394,-0.502269,-0.345132,-9.787696,0.082209,0.139228,-0.024197
1781265277.598394,-0.489049,-0.352735,-9.788094,0.069437,0.132055,-0.018411
1781265277.608394,-0.475598,-0.358437,-9.788550,0.047189,0.145993,-0.010033
1781265277.618394,-0.460559,-0.361188,-9.789168,0.008058,0.159689,-0.010233
1781265277.628394,-0.446701,-0.359609,-9.789868,-0.042789,0.116007,-0.024027
1781265277.638394,-0.438775,-0.352838,-9.790473,-0.095262,0.043897,-0.035284
1781265277.648394,-0.438988,-0.342167,-9.790842,-0.121331,-0.049092,-0.017111
1781265277.658394,-0.448785,-0.330351,-9.790804,-0.115613,-0.144437,0.022748
1781265277.668394,-0.464950,-0.320911,-9.790363,-0.068731,-0.172764,0.068014
1781265277.678394,-0.480393,-0.317425,-9.789731,0.008517,-0.130480,0.102000
1781265277.688394,-0.490816,-0.322207,-9.789058,0.100005,-0.075982,0.104892
1781265277.698394,-0.496948,-0.335514,-9.788302,0.178282,-0.045536,0.076743
1781265277.708394,-0.500365,-0.354897,-9.787443,0.218627,-0.015769,0.044023
1781265277.718394,-0.499286,-0.376474,-9.786692,0.219376,0.043268,0.003005
1781265277.728394,-0.492137,-0.396589,-9.786260,0.187948,0.102102,-0.021313
1781265277.738394,-0.479709,-0.413142,-9.786192,0.147402,0.145430,-0.035564
1781265277.748394,-0.464365,-0.425917,-9.786385,0.110685,0.164554,-0.038137
1781265277.758394,-0.447639,-0.435896,-9.786725,0.091993,0.177385,-0.025396
1781265277.768394,-0.429851,-0.445185,-9.787104,0.099404,0.187375,-0.007471
1781265277.778394,-0.412406,-0.456298,-9.787343,0.130327,0.161953,0.004332
1781265277.788394,-0.400369,-0.471062,-9.787143,0.171008,0.078465,0.002096
1781265277.798394,-0.397190,-0.489537,-9.786366,0.205458,-0.007895,0.001639
